code,name,kind,signgu,adstrd,x,y,area_m2
3001491,이태원 관광특구,관광특구,용산구,이태원1동,199498.0,448311.0,372565.0
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,중구,소공동,198397.0,451614.0,983618.0
3001493,동대문패션타운 관광특구,관광특구,중구,광희동,200996.0,451976.0,606058.0
3001494,종로·청계 관광특구,관광특구,종로구,종로1·2·3·4가동,199796.0,452274.0,653127.0
3001495,잠실 관광특구,관광특구,송파구,방이2동,210188.0,446334.0,2462734.0
3001496,강남 마이스 관광특구,관광특구,강남구,삼성1동,205282.0,445736.0,237892.0
3110001,이북5도청사,골목상권,종로구,평창동,196262.0,456660.0,108529.0
3110002,독립문역 1번,골목상권,종로구,무악동,196220.0,452912.0,31531.0
3110003,세검정초등학교,골목상권,종로구,부암동,196389.0,455998.0,191570.0
3110004,대신고등학교,골목상권,종로구,교남동,196517.0,452627.0,18781.0
3110005,세검정,골목상권,종로구,부암동,196688.0,455706.0,244923.0
3110006,부암동주민센터,골목상권,종로구,부암동,196701.0,454714.0,91486.0
3110007,사직공원(한국사회과학도서관),골목상권,종로구,사직동,196895.0,452714.0,80252.0
3110008,배화여자대학교(박노수미술관),골목상권,종로구,청운효자동,197093.0,453418.0,149264.0
3110009,자하문터널,골목상권,종로구,부암동,196991.0,455057.0,178306.0
3110010,평창동서측,골목상권,종로구,평창동,197064.0,456643.0,369415.0
3110011,청운초등학교,골목상권,종로구,청운효자동,197219.0,454141.0,26913.0
3110012,성곡미술관,골목상권,종로구,사직동,197292.0,452641.0,124348.0
3110013,체부동홍종문가옥,골목상권,종로구,사직동,197340.0,453202.0,17064.0
3110014,경복고등학교,골목상권,종로구,청운효자동,197484.0,453952.0,63411.0
3110015,청와대사랑채,골목상권,종로구,청운효자동,197585.0,453623.0,69399.0
3110016,평창동동측,골목상권,종로구,평창동,197827.0,457040.0,522818.0
3110017,정독도서관,골목상권,종로구,가회동,198581.0,453781.0,83855.0
3110018,중앙고등학교,골목상권,종로구,가회동,198883.0,453690.0,166872.0
3110019,창덕궁,골목상권,종로구,종로1·2·3·4가동,199222.0,452926.0,40999.0
3110020,서울국제고등학교,골목상권,종로구,혜화동,199598.0,454302.0,133692.0
3110021,성균관대학교,골목상권,종로구,혜화동,199759.0,453776.0,77655.0
3110022,경신고등학교,골목상권,종로구,혜화동,199921.0,454166.0,60182.0
3110023,서울대병원,골목상권,종로구,이화동,200139.0,453265.0,15969.0
3110024,혜화동주민센터,골목상권,종로구,혜화동,200121.0,454192.0,52850.0
3110025,충신시장옆,골목상권,종로구,종로5·6가동,200370.0,452813.0,39184.0
3110026,종로5가역 4번,골목상권,종로구,종로5·6가동,200477.0,452601.0,16485.0
3110027,혜화역 1번,골목상권,종로구,이화동,200507.0,453618.0,117673.0
3110028,이화달팽이길,골목상권,종로구,이화동,200575.0,452995.0,159124.0
3110029,동대문역 1번,골목상권,종로구,창신2동,200934.0,452953.0,153230.0
3110030,동대문역 3번,골목상권,종로구,창신1동,201063.0,452656.0,9161.0
3110031,창신역 1번,골목상권,종로구,창신3동,201298.0,453314.0,32878.0
3110032,수족관거리,골목상권,종로구,창신1동,201321.0,452326.0,9323.0
3110033,창신역 4번,골목상권,종로구,숭인1동,201471.0,453118.0,77869.0
3110034,창신1동주민센터,골목상권,종로구,창신1동,201508.0,452344.0,29604.0
3110035,동묘앞역 2번,골목상권,종로구,숭인2동,201699.0,452879.0,95779.0
3110036,동묘앞역 3번,골목상권,종로구,숭인2동,201783.0,452612.0,18431.0
3110037,신설동역 12번,골목상권,종로구,숭인2동,201949.0,453159.0,55232.0
3110038,경향신문사,골목상권,중구,소공동,197253.0,451928.0,36893.0
3110039,회현역 1번,골목상권,중구,회현동,198305.0,450967.0,9928.0
3110040,중구회현체육센터(정화예술대남산캠퍼스),골목상권,중구,회현동,198420.0,450734.0,76242.0
3110041,남산케이블카,골목상권,중구,명동,198659.0,450764.0,130560.0
3110042,남산골공원옆,골목상권,중구,필동,199565.0,450784.0,72607.0
3110043,충무초등학교,골목상권,중구,장충동,200090.0,451226.0,110058.0
3110044,관성묘,골목상권,중구,장충동,200294.0,451298.0,29575.0
3110045,동대문역사문화공원역 5번,골목상권,중구,장충동,200434.0,451428.0,44820.0
3110046,버티고개,골목상권,중구,다산동,200514.0,450225.0,58013.0
3110047,다산성곽길,골목상권,중구,다산동,200639.0,450609.0,85386.0
3110048,장충동주민센터,골목상권,중구,장충동,200749.0,451274.0,135606.0
3110049,장충단 고개,골목상권,중구,다산동,200898.0,450889.0,70693.0
3110050,약수역 7번,골목상권,중구,약수동,200868.0,450316.0,34553.0
3110051,한양공고앞 교차로,골목상권,중구,신당동,200997.0,451576.0,44893.0
3110052,장충초등학교,골목상권,중구,다산동,201128.0,451117.0,68893.0
3110053,청구역 1번,골목상권,중구,신당동,201118.0,451376.0,85550.0
3110054,청구역 3번,골목상권,중구,청구동,201174.0,450806.0,69155.0
3110055,황학동벼룩시장,골목상권,중구,황학동,201642.0,452260.0,27575.0
3110056,신당역 3번,골목상권,중구,신당5동,201855.0,451480.0,129607.0
