middle_code,middle_name,major_code,major_name,has_seoul,note
G202,자동차 부품 및 내장품 소매업,G2,소매업,Y,
G203,모터사이클 및 부품 소매업,G2,소매업,Y,
G204,종합 소매업,G2,소매업,Y,
G205,식료품 소매업,G2,소매업,Y,
G206,음료 소매업,G2,소매업,Y,
G207,담배 소매업,G2,소매업,N,서울시 100대에 없음
G208,가전제품 및 정보 통신장비 소매업,G2,소매업,Y,
G209,"섬유, 의복, 신발 및 가죽제품 소매업",G2,소매업,Y,
G210,"철물, 공구, 창호 및 건설자재 소매업",G2,소매업,Y,
G211,가구 소매업,G2,소매업,Y,
G212,기타 생활용품 소매업,G2,소매업,Y,
G213,"문화, 오락 및 여가 용품 소매업",G2,소매업,Y,
G214,연료소매업,G2,소매업,Y,
G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G2,소매업,Y,
G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",G2,소매업,Y,
G217,시계 및 귀금속 소매업,G2,소매업,Y,
G218,"예술품, 기념품 및 장식용품 소매업",G2,소매업,Y,
G219,화초 및 식물 소매업,G2,소매업,Y,
G220,애완용 동물 및 관련용품 소매업,G2,소매업,Y,
G221,기타 상품 전문 소매업,G2,소매업,N,서울시 100대에 없음
G222,중고 상품 소매업,G2,소매업,Y,
I101,일반 및 생활 숙박시설 운영업,I1,숙박업,Y,
I102,기타 숙박업,I1,숙박업,Y,
I201,한식 음식점업,I2,음식점업,Y,
I202,중식 음식점업,I2,음식점업,Y,
I203,일식 음식점업,I2,음식점업,Y,
I204,서양식 음식점업,I2,음식점업,Y,
I205,동남아시아 음식점업,I2,음식점업,N,서울시 100대에 없음
I206,기타 외국식 음식점업,I2,음식점업,N,서울시 100대에 없음
I207,구내식당 및 뷔페,I2,음식점업,N,서울시 100대에 없음
I210,기타 간이 음식점업,I2,음식점업,Y,
I211,주점업,I2,음식점업,Y,
I212,비알코올 음료점업,I2,음식점업,Y,
L102,부동산관련 서비스업,L1,부동산업,Y,
M103,법무관련 서비스업,M1,"전문, 과학 및 기술 서비스업",Y,
M104,회계 및 세무관련 서비스업,M1,"전문, 과학 및 기술 서비스업",Y,
M105,광고업,M1,"전문, 과학 및 기술 서비스업",N,서울시 100대에 없음
M106,시장 조사 및 여론 조사업,M1,"전문, 과학 및 기술 서비스업",N,서울시 100대에 없음
M107,회사 본부 및 경영 컨설팅 서비스업,M1,"전문, 과학 및 기술 서비스업",N,서울시 100대에 없음
M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",M1,"전문, 과학 및 기술 서비스업",N,서울시 100대에 없음
M111,수의업,M1,"전문, 과학 및 기술 서비스업",Y,
M112,전문 디자인업,M1,"전문, 과학 및 기술 서비스업",Y,
M113,사진 촬영 및 처리업,M1,"전문, 과학 및 기술 서비스업",Y,
M114,인쇄 및 제품 제작업,M1,"전문, 과학 및 기술 서비스업",N,서울시 100대에 없음
M115,"그 외 기타 전문, 과학 및 기술 서비스업",M1,"전문, 과학 및 기술 서비스업",Y,
N101,사업시설 유지ㆍ관리 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N102,건물ㆍ산업설비 청소 및 방제 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",Y,
N103,조경관리 및 유지 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N104,고용 알선 및 인력 공급업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N105,여행사 및 기타 여행 보조 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",Y,
N107,사무 지원 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N108,기타 사업 지원 서비스업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N109,운송장비 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
N110,개인 및 가정용품 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",Y,
