legacy_id,legacy_name,middle_code,split_count,route,note
1,한식음식점,I201,1,seoul,
2,중식음식점,I202,1,seoul,
3,일식음식점,I203,1,seoul,
4,양식음식점,I204,1,seoul,
5,기타 외국식 음식점,I206,1,direct,서울시 경로 없음
6,제과·디저트점,I210,1,seoul,
7,패스트푸드·치킨전문점,I210,1,seoul,
8,분식·간이음식점,I210,1,seoul,
9,주점·호프,I211,1,seoul,
10,카페·음료점,I212,1,seoul,
11,슈퍼마켓·종합소매점,G204,1,seoul,
12,편의점,G204,1,seoul,
13,식료품 전문판매점,G205,1,seoul,
14,주류·음료·담배 판매점,G206,1,seoul,
15,의류·섬유제품 판매점,G209,1,seoul,
16,신발·가방·가죽제품 판매점,G209,1,seoul,
17,화장품·미용재료 판매점,G215,1,seoul,
18,의약품·의료기기 판매점,G215,1,seoul,
19,안경·정밀기기 판매점,G216,1,seoul,
20,시계·귀금속 판매점,G217,1,seoul,
21,컴퓨터·휴대폰·통신기기 판매점,G208,1,seoul,
22,가전제품 판매점,G208,1,seoul,
23,가구 판매점,G211,1,seoul,
24,철물·건설자재 판매점,G210,1,seoul,
25,인테리어·조명용품 판매점,G212,2,seoul,
25,인테리어·조명용품 판매점,M112,2,seoul,
26,생활용품 판매점,G212,1,direct,서울시 경로 없음
27,서적·문구 판매점,G213,1,seoul,
28,완구·취미·악기·예술품 판매점,G212,3,seoul,
28,완구·취미·악기·예술품 판매점,G213,3,seoul,
28,완구·취미·악기·예술품 판매점,G218,3,seoul,
29,스포츠·레저용품 판매점,G213,1,seoul,
30,자전거·기타 운송장비 판매점,G213,1,seoul,
31,화초·식물 판매점,G219,1,seoul,
32,반려동물·용품 판매점,G220,1,seoul,
33,자동차·모터사이클·부품 판매점,G202,3,seoul,
33,자동차·모터사이클·부품 판매점,G203,3,seoul,
33,자동차·모터사이클·부품 판매점,G222,3,seoul,
34,주유·연료 판매점,G214,1,seoul,
35,중고·재생품 판매점,G222,1,seoul,
36,일반교습·입시학원,P105,1,seoul,
37,외국어·컴퓨터학원,P106,1,seoul,
38,예술·음악학원,P106,1,seoul,
39,독서실·교육지원서비스,R102,1,seoul,
40,일반의원,Q102,1,seoul,
41,치과의원,Q102,1,seoul,
42,한의원,Q102,1,seoul,
43,병원·기타 보건서비스,Q101,2,direct,서울시 경로 없음
43,병원·기타 보건서비스,Q104,2,direct,서울시 경로 없음
44,동물병원,M111,1,seoul,
45,PC방·전자게임장,R104,1,seoul,
46,노래방,R104,1,seoul,
47,당구장·볼링장,R103,1,seoul,
48,골프연습장,R103,1,seoul,
49,스포츠클럽·스포츠강습,P106,2,seoul,
49,스포츠클럽·스포츠강습,R103,2,seoul,
50,복권방·기타 오락시설,R104,1,seoul,
51,문화·여가공간,R104,1,seoul,
52,미용실,S207,1,seoul,
53,네일·피부관리,S207,1,seoul,
54,마사지·신체관리,S208,1,direct,서울시 경로 없음
55,세탁소,S209,1,seoul,
56,컴퓨터·통신기기 수리,S202,1,seoul,
57,가전·생활용품 수리,S205,1,seoul,
58,자동차·모터사이클 정비·세차,S203,2,seoul,
58,자동차·모터사이클 정비·세차,S204,2,seoul,
59,장례·기타 개인서비스,S210,2,direct,서울시 경로 없음
59,장례·기타 개인서비스,S211,2,direct,서울시 경로 없음
60,일반숙박업,I101,1,seoul,
61,게스트하우스,I101,1,seoul,
62,고시원·기타 숙박업,I102,1,seoul,
63,부동산 중개·관련 서비스,L102,1,seoul,
64,법무 서비스,M103,1,seoul,
65,회계·세무 서비스,M104,1,seoul,
66,광고·시장조사·경영컨설팅,M105,3,direct,서울시 경로 없음
66,광고·시장조사·경영컨설팅,M106,3,direct,서울시 경로 없음
66,광고·시장조사·경영컨설팅,M107,3,direct,서울시 경로 없음
67,건축·엔지니어링 서비스,M109,1,direct,서울시 경로 없음
68,디자인·사진·인쇄·콘텐츠 제작,M113,2,seoul,
68,디자인·사진·인쇄·콘텐츠 제작,M115,2,seoul,
69,여행·통번역 서비스,M115,2,seoul,
69,여행·통번역 서비스,N105,2,seoul,
70,사업지원·시설관리·대여 서비스,N102,2,seoul,
70,사업지원·시설관리·대여 서비스,N110,2,seoul,
