seoul_code,seoul_name,middle_code,match_method,evidence_small,note
CS100001,한식음식점,I201,모델,기타 한식 음식점 / 백반/한정식 / 국/탕/찌개류,
CS100002,중식음식점,I202,모델,중국집 / 마라탕/훠궈,
CS100003,일식음식점,I203,모델,기타 일식 음식점 / 일식 회/초밥 / 일식 카레/돈가스/덮밥,
CS100004,양식음식점,I204,모델,기타 서양식 음식점 / 경양식 / 파스타/스테이크,
CS100005,제과점,I210,모델,빵/도넛 / 떡/한과,
CS100006,패스트푸드점,I210,모델,버거 / 피자 / 치킨,
CS100007,치킨전문점,I210,정확,치킨,
CS100008,분식전문점,I210,정확,김밥/만두/분식,
CS100009,호프-간이주점,I211,모델,생맥주 전문 / 요리 주점 / 일반 유흥 주점,
CS100010,커피-음료,I212,모델,카페 / 아이스크림/빙수,
CS200001,일반교습학원,P105,모델,입시·교과학원 / 전문자격/고시학원 / 그 외 기타 교육기관,
CS200002,외국어학원,P106,정확,외국어학원,
CS200003,예술학원,P106,모델,음악학원 / 미술학원 / 기타 예술/스포츠 교육기관,
CS200004,컴퓨터학원,P106,정확,컴퓨터 학원,
CS200005,스포츠 강습,P106,모델,요가/필라테스 학원 / 태권도/무술학원 / 레크리에이션 교육기관,
CS200006,일반의원,Q102,모델,기타 의원 / 내과/소아과 의원 / 외과 의원,
CS200007,치과의원,Q102,정확,치과의원,
CS200008,한의원,Q102,정확,한의원,
CS200009,동물병원,M111,정확,동물병원,
CS200010,변호사사무소,M103,모델,변호사,
CS200011,변리사사무소,M103,모델,변리사,
CS200012,법무사사무소,M103,모델,법무사,
CS200013,기타법무서비스,M103,모델,기타 법무관련 서비스업,
CS200014,회계사사무소,M104,모델,공인회계사,
CS200015,세무사사무소,M104,모델,세무사,
CS200016,당구장,R103,정확,당구장,
CS200017,골프연습장,R103,정확,골프 연습장,
CS200018,볼링장,R103,정확,볼링장,
CS200019,PC방,R104,정확,PC방,
CS200020,전자게임장,R104,정확,전자 게임장,
CS200021,기타오락장,R104,정확,기타 오락장,
CS200022,복권방,R104,모델,복권 발행/판매업,
CS200023,통신기기수리,S202,모델,핸드폰/통신장비 수리업,
CS200024,스포츠클럽,R103,정확,스포츠 클럽 운영업,
CS200025,자동차수리,S203,모델,자동차 정비소,
CS200026,자동차미용,S203,모델,자동차 세차장,
CS200027,모터사이클수리,S204,정확,모터사이클 수리업,
CS200028,미용실,S207,정확,미용실,
CS200029,네일숍,S207,정확,네일숍,
CS200030,피부관리실,S207,정확,피부 관리실,
CS200031,세탁소,S209,정확,세탁소,
CS200032,가전제품수리,S205,정확,가전제품 수리업,
CS200033,부동산중개업,L102,정확,부동산 중개/대리업,
CS200034,여관,I101,정확,여관/모텔,
CS200035,게스트하우스,I101,모델,펜션 / 여관/모텔 / 그 외 기타 숙박업,
CS200036,고시원,I102,정확,기숙사/고시원,
CS200037,노래방,R104,정확,노래방,
CS200038,독서실,R102,정확,독서실/스터디 카페,
CS200039,DVD방,R104,모델,비디오방,
CS200040,녹음실,M115,모델,그 외 기타 전문/과학/기술 서비스업,
CS200041,사진관,M113,모델,사진촬영업,
CS200042,통번역서비스,M115,모델,번역/통역 서비스업 / 번역/통역 서비스업(인적용역),
CS200043,건축물청소,N102,모델,건축물 일반 청소업,
CS200044,여행사,N105,정확,여행사,
CS200045,비디오/서적임대,N110,모델,음반/비디오물 대여업 / 만화방,
CS200046,의류임대,N110,모델,의류 대여업,
CS200047,가정용품임대,N110,모델,기타 개인/가정용품 대여업,
CS300001,슈퍼마켓,G204,정확,슈퍼마켓,
CS300002,편의점,G204,정확,편의점,
CS300003,컴퓨터및주변장치판매,G208,모델,컴퓨터/소프트웨어 소매업,
CS300004,핸드폰,G208,정확,핸드폰 소매업 / 핸드폰/통신장비 수리업,
CS300005,주류도매,G206,모델,주류 소매업,
CS300006,미곡판매,G205,모델,곡물/곡분 소매업,
CS300007,육류판매,G205,모델,정육점,
CS300008,수산물판매,G205,정확,수산물 소매업,
CS300009,청과상,G205,모델,채소/과일 소매업,
CS300010,반찬가게,G205,모델,반찬/식료품 소매업,
CS300011,일반의류,G209,모델,남성 의류 소매업 / 여성 의류 소매업 / 기타 의류 소매업,
CS300012,한복점,G209,정확,한복 소매업,
CS300013,유아의류,G209,모델,유아용 의류 소매업,
CS300014,신발,G209,정확,신발 소매업,
CS300015,가방,G209,정확,가방 소매업 / 가죽/가방/신발 수선업,
CS300016,안경,G216,모델,안경렌즈 소매업,
CS300017,시계및귀금속,G217,모델,시계/귀금속 소매업,
CS300018,의약품,G215,모델,약국,
CS300019,의료기기,G215,정확,의료기기 소매업,
CS300020,서적,G213,모델,서점,
CS300021,문구,G213,정확,문구/회화용품 소매업,
CS300022,화장품,G215,정확,화장품 소매업,
CS300023,미용재료,G215,모델,화장품 소매업,
CS300024,운동/경기용품,G213,모델,운동용품 소매업,
