code,name,kind,restaurant_count,density
3001491,이태원 관광특구,관광특구,704,896.3606
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,1164,1482.0508
3001493,동대문패션타운 관광특구,관광특구,533,678.6367
3001494,종로·청계 관광특구,관광특구,568,723.2001
3001495,잠실 관광특구,관광특구,239,304.3043
3001496,강남 마이스 관광특구,관광특구,672,855.617
3110001,이북5도청사,골목상권,45,57.2958
3110002,독립문역 1번,골목상권,57,72.5747
3110003,세검정초등학교,골목상권,77,98.0394
3110004,대신고등학교,골목상권,159,202.4451
3110005,세검정,골목상권,40,50.9296
3110006,부암동주민센터,골목상권,47,59.8423
3110007,사직공원(한국사회과학도서관),골목상권,156,198.6254
3110008,배화여자대학교(박노수미술관),골목상권,378,481.2845
3110009,자하문터널,골목상권,64,81.4873
3110010,평창동서측,골목상권,52,66.2085
3110011,청운초등학교,골목상권,39,49.6563
3110012,성곡미술관,골목상권,660,840.3381
3110013,체부동홍종문가옥,골목상권,684,870.8958
3110014,경복고등학교,골목상권,78,99.3127
3110015,청와대사랑채,골목상권,325,413.8029
3110016,평창동동측,골목상권,26,33.1042
3110017,정독도서관,골목상권,209,266.1071
3110018,중앙고등학교,골목상권,171,217.724
3110019,창덕궁,골목상권,768,977.848
3110020,서울국제고등학교,골목상권,179,227.9099
3110021,성균관대학교,골목상권,575,732.1127
3110022,경신고등학교,골목상권,475,604.7888
3110023,서울대병원,골목상권,554,705.3747
3110024,혜화동주민센터,골목상권,467,594.6029
3110025,충신시장옆,골목상권,480,611.155
3110026,종로5가역 4번,골목상권,636,809.7804
3110027,혜화역 1번,골목상권,443,564.0451
3110028,이화달팽이길,골목상권,260,331.0423
3110029,동대문역 1번,골목상권,297,378.1521
3110030,동대문역 3번,골목상권,496,631.5268
3110031,창신역 1번,골목상권,81,103.1324
3110032,수족관거리,골목상권,582,741.0254
3110033,창신역 4번,골목상권,194,247.0085
3110034,창신1동주민센터,골목상권,530,674.817
3110035,동묘앞역 2번,골목상권,372,473.6451
3110036,동묘앞역 3번,골목상권,468,595.8761
3110037,신설동역 12번,골목상권,386,491.4705
3110038,경향신문사,골목상권,504,641.7127
3110039,회현역 1번,골목상권,602,766.4902
3110040,중구회현체육센터(정화예술대남산캠퍼스),골목상권,289,367.9662
3110041,남산케이블카,골목상권,222,282.6592
3110042,남산골공원옆,골목상권,137,174.4338
3110043,충무초등학교,골목상권,471,599.6958
3110044,관성묘,골목상권,425,541.1268
3110045,동대문역사문화공원역 5번,골목상권,445,566.5916
3110046,버티고개,골목상권,156,198.6254
3110047,다산성곽길,골목상권,313,398.524
3110048,장충동주민센터,골목상권,380,483.831
3110049,장충단 고개,골목상권,370,471.0986
3110050,약수역 7번,골목상권,283,360.3268
3110051,한양공고앞 교차로,골목상권,518,659.5381
3110052,장충초등학교,골목상권,333,423.9888
3110053,청구역 1번,골목상권,407,518.2085
3110054,청구역 3번,골목상권,343,436.7212
3110055,황학동벼룩시장,골목상권,544,692.6423
3110056,신당역 3번,골목상권,664,845.4311
3110057,황학코아루아파트,골목상권,694,883.6282
3110058,성심여자고등학교,골목상권,107,136.2366
3110059,새남터성지,골목상권,37,47.1099
3110060,효창공원앞역 6번,골목상권,317,403.6169
3110061,효창동주민센터,골목상권,150,190.9859
3110062,한강로동땡땡거리(은행나무길),골목상권,308,392.1578
3110063,효창공원앞역 5번,골목상권,384,488.924
3110064,효창공원앞역 2번,골목상권,309,393.431
3110065,남정초등학교,골목상권,376,478.7381
3110066,서울역 15번,골목상권,277,352.6874
3110067,배문고등학교,골목상권,328,417.6226
3110068,남영역 1번,골목상권,465,592.0564
3110069,숙대입구,골목상권,513,653.1719
3110070,용산세무서,골목상권,284,361.6
3110071,한강미주맨션아파트,골목상권,91,115.8648
3110072,열정도,골목상권,314,399.7972
3110073,삼각지역 3번,골목상권,517,658.2648
3110074,서울역 12번,골목상권,433,551.3127
3110075,숙대입구역 1번,골목상권,596,758.8508
3110076,삼각지역 14번,골목상권,355,452.0
3110077,삼광초등학교,골목상권,321,408.7099
3110078,이촌동점보아파트,골목상권,111,141.3296
3110079,후암동주민센터,골목상권,262,333.5888
3110080,해방촌예술마을,골목상권,265,337.4085
3110081,해방촌 남동측,골목상권,313,398.524
3110082,용산구청,골목상권,658,837.7916
3110083,서빙고역 1번,골목상권,23,29.2845
3110084,경리단길북측,골목상권,292,371.7859
3110085,경리단길남측,골목상권,446,567.8648
3110086,이태원역 북측,골목상권,787,1002.0395
3110087,이태원엔틱가구거리,골목상권,657,836.5184
3110088,오산고등학교,골목상권,128,162.9747
3110089,서빙고동주민센터,골목상권,48,61.1155
3110090,한국폴리텍대학서울정수캠퍼스,골목상권,151,192.2592
3110091,리움미술관,골목상권,464,590.7831
3110092,NH농협은행 보광동지점,골목상권,139,176.9803
3110093,우사단길,골목상권,438,557.6789
3110094,오산중학교,골목상권,110,140.0563
3110095,한강진역 3번,골목상권,294,374.3324
3110096,한남힐사이드아파트,골목상권,45,57.2958
3110097,한남초등학교,골목상권,277,352.6874
3110098,서울독일학교,골목상권,189,240.6423
3110099,유엔빌리지길,골목상권,145,184.6197
3110100,옥수동우편취급국,골목상권,58,73.8479
3110101,옥정중학교,골목상권,139,176.9803
3110102,옥수역 6번,골목상권,155,197.3521
3110103,옥수터널,골목상권,216,275.0197
3110104,신금호역 4번,골목상권,288,366.693
3110105,금동어린이공원,골목상권,297,378.1521
3110106,금북초등학교,골목상권,138,175.7071
3110107,금호사거리,골목상권,247,314.4902
3110108,성동구립금호도서관,골목상권,171,217.724
3110109,금호삼성래미안아파트,골목상권,221,281.3859
3110110,상왕십리역 6번,골목상권,375,477.4648
3110111,대현산장미원,골목상권,84,106.9521
3110112,행당역 2번,골목상권,433,551.3127
3110113,응봉산,골목상권,38,48.3831
3110114,왕십리파출소,골목상권,339,431.6282
3110115,상왕십리역 3번,골목상권,500,636.6198
3110116,청계천박물관,골목상권,154,196.0789
3110117,성동구보건소,골목상권,368,468.5522
3110118,왕십리역 9번,골목상권,528,672.2705
3110119,마장지하차도,골목상권,294,374.3324
3110120,서울숲카페거리,골목상권,394,501.6564
3110121,한양대역 4번,골목상권,335,426.5352
3110122,마장역 2번,골목상권,113,143.8761
3110123,마장역 3번,골목상권,93,118.4113
3110124,뚝섬역교차로,골목상권,519,660.8113
3110125,사근동살곶이상점가,골목상권,116,147.6958
3110126,서울숲역 1번,골목상권,723,920.5522
3110127,성수1가1동주민센터,골목상권,444,565.3184
3110128,성원중학교,골목상권,339,431.6282
3110129,성원어린이공원,골목상권,395,502.9296
3110130,답십리역 6번,골목상권,278,353.9606
3110131,성수동카페거리,골목상권,719,915.4592
3110132,성수2가3동주민센터,골목상권,344,437.9944
3110133,서울교통공사,골목상권,249,317.0366
3110134,성수119안전센터,골목상권,348,443.0874
3110135,성동세무서,골목상권,160,203.7183
3110136,경수초등학교,골목상권,472,600.9691
3110137,성수초등학교,골목상권,336,427.8085
3110138,송정체육공원,골목상권,327,416.3493
3110139,자양4동주민센터,골목상권,294,374.3324
3110140,건대입구역 6번,골목상권,731,930.7381
3110141,건대입구역 1번,골목상권,961,1223.5832
3110142,화양사거리,골목상권,825,1050.4226
3110143,뚝섬유원지역 1번,골목상권,238,303.031
3110144,어린이대공원역 4번,골목상권,766,975.3015
3110145,장안초등학교,골목상권,475,604.7888
3110146,신자초등학교,골목상권,190,241.9155
3110147,능동우편취급국,골목상권,388,494.0169
3110148,어린이대공원역 3번,골목상권,387,492.7437
3110149,세종대학교,골목상권,290,369.2395
3110150,중곡1동 마을마당,골목상권,378,481.2845
3110151,자양한강도서관,골목상권,300,381.9719
3110152,중곡어린이공원,골목상권,310,394.7043
3110153,중곡1동주민센터,골목상권,588,748.6649
3110154,광진정말공원,골목상권,404,514.3888
3110155,광진구청,골목상권,326,415.0761
3110156,군자역 5번,골목상권,387,492.7437
3110157,자양동우체국,골목상권,263,334.862
3110158,중곡3동주민센터,골목상권,283,360.3268
3110159,구의역 4번,골목상권,488,621.3409
3110160,광진경찰서,골목상권,195,248.2817
3110161,중곡역 3번,골목상권,309,393.431
3110162,군자역 4번,골목상권,506,644.2592
3110163,성자초등학교,골목상권,231,294.1183
3110164,아차산역 5번,골목상권,249,317.0366
3110165,국립정신건강센터,골목상권,352,448.1803
3110166,구의1동주민센터,골목상권,504,641.7127
3110167,용마초등학교,골목상권,354,450.7268
3110168,대원고등학교,골목상권,214,272.4733
3110169,성동초등학교,골목상권,165,210.0845
3110170,동대부여고,골목상권,496,631.5268
3110171,중곡4동주민센터,골목상권,231,294.1183
3110172,광진초등학교,골목상권,232,295.3916
3110173,구남초등학교,골목상권,349,444.3606
3110174,아차산역 1번,골목상권,421,536.0338
3110175,푸른동산공원,골목상권,352,448.1803
3110176,해오름공원,골목상권,234,297.9381
3110177,동의초등학교,골목상권,238,303.031
3110178,장로회신학대학교,골목상권,143,182.0733
3110179,광나루역 1번,골목상권,153,194.8057
3110180,광진정보도서관,골목상권,101,128.5972
