trarNo,mainTrarNm,ctprvnCd,ctprvnNm,signguCd,signguNm,trarArea,coordNum,stdrDt
10154,잠실새내역4번 출구,11,서울특별시,11710,송파구,224767,1038,2024-01-01
10132,도곡지구대,11,서울특별시,11680,강남구,49473,396,2024-01-01
10112,영동고등학교,11,서울특별시,11680,강남구,177175,1090,2024-01-01
10139,강남구청역2번 출구,11,서울특별시,11680,강남구,83312,422,2024-01-01
10134,선릉역7번 출구,11,서울특별시,11680,강남구,174187,779,2024-01-01
10114,청담동주민센터,11,서울특별시,11680,강남구,85460,504,2024-01-01
10133,선릉역1번 출구,11,서울특별시,11680,강남구,373526,1813,2024-01-01
10135,봉은사역7번 출구,11,서울특별시,11680,강남구,246790,375,2024-01-01
10136,대명중학교,11,서울특별시,11680,강남구,61778,221,2024-01-01
10137,대치유수지체육공원,11,서울특별시,11680,강남구,18755,275,2024-01-01
