indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,stdrDt
F1,건설업,F101,건물건설,2023-02-28
F1,건설업,F104,건물설비,2023-02-28
F1,건설업,F108,건설장비운영,2023-02-28
F1,건설업,F103,기반조성·축조,2023-02-28
F1,건설업,F107,시설물 유지,2023-02-28
F1,건설업,F106,실내건축·마무리,2023-02-28
F1,건설업,F105,전기·통신,2023-02-28
F1,건설업,F102,토목건설,2023-02-28
O1,공공 행정·국방,O104,사법 질서,2023-02-28
O1,공공 행정·국방,O105,사회 보장 ,2023-02-28
O1,공공 행정·국방,O102,산업정책,2023-02-28
O1,공공 행정·국방,O103,외무·국방,2023-02-28
O1,공공 행정·국방,O101,일반정부,2023-02-28
M1,과학·기술,M105,광고,2023-02-28
M1,과학·기술,M109,기술 서비스,2023-02-28
M1,과학·기술,M110,기타 과학 서비스,2023-02-28
M1,과학·기술,M108,기타 서비스,2023-02-28
M1,과학·기술,M115,기타 전문 과학,2023-02-28
M1,과학·기술,M103,법무관련 ,2023-02-28
M1,과학·기술,M107,본사·경영 컨설팅,2023-02-28
M1,과학·기술,M113,사진 촬영,2023-02-28
M1,과학·기술,M111,수의,2023-02-28
M1,과학·기술,M106,시장 조사,2023-02-28
M1,과학·기술,M114,인쇄·제품제작,2023-02-28
M1,과학·기술,M101,자연과학연구,2023-02-28
M1,과학·기술,M102,자연과학연구,2023-02-28
M1,과학·기술,M112,전문 디자인,2023-02-28
M1,과학·기술,M104,회계·세무,2023-02-28
B1,광업,B106,기타 비금속,2023-02-28
B1,광업,B104,비철금속,2023-02-28
B1,광업,B101,석탄 광업,2023-02-28
B1,광업,B102,원유·가스 채굴,2023-02-28
B1,광업,B107,지원 서비스,2023-02-28
B1,광업,B103,철,2023-02-28
B1,광업,B105,토사석,2023-02-28
P1,교육,P103,고등 교육,2023-02-28
P1,교육,P107,교육 지원,2023-02-28
P1,교육,P106,기타 교육,2023-02-28
P1,교육,P105,일반 교육,2023-02-28
P1,교육,P102,중등 교육,2023-02-28
P1,교육,P101,초등 교육,2023-02-28
P1,교육,P104,특수·외국인·대안 학교,2023-02-28
U1,국제기관,U101,국제기관,2023-02-28
K1,금융·보험,K107,금융 지원,2023-02-28
K1,금융·보험,K103,기타 금융,2023-02-28
K1,금융·보험,K104,보험,2023-02-28
K1,금융·보험,K105,보험,2023-02-28
K1,금융·보험,K108,보험·연금,2023-02-28
K1,금융·보험,K102,신탁·집합투자,2023-02-28
K1,금융·보험,K106,연금·공제,2023-02-28
K1,금융·보험,K101,은행·저축,2023-02-28
A1,농업·임업·어업,A105,수렵,2023-02-28
A1,농업·임업·어업,A108,양식업,2023-02-28
A1,농업·임업·어업,A107,어업,2023-02-28
A1,농업·임업·어업,A106,임업,2023-02-28
A1,농업·임업·어업,A101,작물재배,2023-02-28
A1,농업·임업·어업,A104,작물재배·축산,2023-02-28
A1,농업·임업·어업,A103,작불재배·복합농업,2023-02-28
A1,농업·임업·어업,A102,축산,2023-02-28
G1,도매업,G109,건축자재·난방 도매,2023-02-28
G1,도매업,G108,기계장비 도매,2023-02-28
G1,도매업,G110,기타 도매,2023-02-28
G1,도매업,G105,농축산 도매,2023-02-28
G1,도매업,G103,모터사이클 도매,2023-02-28
G1,도매업,G111,상품종합 도매,2023-02-28
G1,도매업,G104,상품중계,2023-02-28
G1,도매업,G107,생활용품 도매,2023-02-28
G1,도매업,G106,음식료·담배 도매,2023-02-28
G1,도매업,G102,자동차 부품 도매,2023-02-28
G1,도매업,G101,자동차도매,2023-02-28
Q1,보건의료,Q103,공중 보건,2023-02-28
Q1,보건의료,Q104,기타 보건,2023-02-28
Q1,보건의료,Q101,병원,2023-02-28
Q1,보건의료,Q102,의원,2023-02-28
Q2,복지 서비스,Q201,거주 복지,2023-02-28
Q2,복지 서비스,Q202,비거주 복지,2023-02-28
L1,부동산,L102,부동산 서비스,2023-02-28
L1,부동산,L101,부동산 임대·공급,2023-02-28
G2,소매,G211,가구 소매,2023-02-28
G2,소매,G208,가전·통신 소매,2023-02-28
G2,소매,G221,기타 상품 소매,2023-02-28
G2,소매,G212,기타 생활용품 소매,2023-02-28
G2,소매,G207,담배 소매,2023-02-28
G2,소매,G203,모터사이클 소매,2023-02-28
G2,소매,G223,무점포 소매,2023-02-28
G2,소매,G209,섬유·의복·신발 소매,2023-02-28
G2,소매,G217,시계·귀금속 소매,2023-02-28
G2,소매,G205,식료품 소매,2023-02-28
G2,소매,G219,식물 소매,2023-02-28
G2,소매,G216,안경·정밀기기 소매,2023-02-28
G2,소매,G220,애완동물·용품 소매,2023-02-28
G2,소매,G214,연료 소매,2023-02-28
G2,소매,G213,오락용품 소매,2023-02-28
G2,소매,G206,음료 소매,2023-02-28
G2,소매,G215,의약·화장품 소매,2023-02-28
G2,소매,G202,자동차 부품 소매,2023-02-28
G2,소매,G201,자동차소매,2023-02-28
G2,소매,G218,장식품 소매,2023-02-28
G2,소매,G204,종합 소매,2023-02-28
G2,소매,G222,중고 상품 소매,2023-02-28
G2,소매,G210,철물·건설자재 소매,2023-02-28
E1,수도·하수 처리·원료 재생업,E101,수도,2023-02-28
E1,수도·하수 처리·원료 재생업,E105,원료재생,2023-02-28
E1,수도·하수 처리·원료 재생업,E103,폐기물 수집·운반,2023-02-28
E1,수도·하수 처리·원료 재생업,E104,폐기물 처리,2023-02-28
E1,수도·하수 처리·원료 재생업,E102,하수·분뇨,2023-02-28
E1,수도·하수 처리·원료 재생업,E106,환경 정화·복원,2023-02-28
S2,수리·개인,S205,가전제품 수리,2023-02-28
S2,수리·개인,S206,기타 가정용품 수리,2023-02-28
S2,수리·개인,S211,기타 개인,2023-02-28
S2,수리·개인,S204,모터사이클 수리,2023-02-28
S2,수리·개인,S209,세탁,2023-02-28
S2,수리·개인,S208,욕탕·신체관리,2023-02-28
S2,수리·개인,S207,이용·미용,2023-02-28
S2,수리·개인,S203,자동차 수리·세차,2023-02-28
S2,수리·개인,S210,장례식장 ,2023-02-28
S2,수리·개인,S201,컴퓨터 수리,2023-02-28
S2,수리·개인,S202,통신장비 수리,2023-02-28
I1,숙박,I102,기타 숙박,2023-02-28
I1,숙박,I101,일반 숙박,2023-02-28
N1,시설관리·임대,N110,가정용품 대여,2023-02-28
N1,시설관리·임대,N106,경비·경호,2023-02-28
N1,시설관리·임대,N104,고용 알선,2023-02-28
N1,시설관리·임대,N108,기타 사업 서비스,2023-02-28
N1,시설관리·임대,N112,무형재산 대여,2023-02-28
N1,시설관리·임대,N107,사무 지원,2023-02-28
N1,시설관리·임대,N111,산업용품 대여,2023-02-28
N1,시설관리·임대,N101,시설관리,2023-02-28
N1,시설관리·임대,N105,여행사·보조,2023-02-28
N1,시설관리·임대,N109,운송장비 대여,2023-02-28
N1,시설관리·임대,N103,조경·유지,2023-02-28
N1,시설관리·임대,N102,청소·방제,2023-02-28
R1,예술·스포츠,R102,도서관·사적지,2023-02-28
R1,예술·스포츠,R103,스포츠 서비스,2023-02-28
R1,예술·스포츠,R104,유원지·오락,2023-02-28
R1,예술·스포츠,R101,창작·예술,2023-02-28
H1,운수·창고,H111,기타 운송,2023-02-28
H1,운수·창고,H107,내륙수상·항만 운송,2023-02-28
H1,운수·창고,H103,도로 화물 운송,2023-02-28
H1,운수·창고,H110,보관·창고,2023-02-28
H1,운수·창고,H104,소화물 운송,2023-02-28
H1,운수·창고,H102,육상 여객 운송,2023-02-28
H1,운수·창고,H101,철도 운송,2023-02-28
H1,운수·창고,H105,파이프라인,2023-02-28
H1,운수·창고,H108,항공 여객 운송,2023-02-28
H1,운수·창고,H109,항공 화물 운송,2023-02-28
