source,field,type,filled,total,fill_rate,distinct,example
소상공인 상가정보,bizesId,str,2506,2506,1.0,2506,MA010120220801055823
소상공인 상가정보,bizesNm,str,2506,2506,1.0,2454,두진아이디주
소상공인 상가정보,brchNm,str,454,2506,0.1812,43,삼성점
소상공인 상가정보,indsLclsCd,str,2506,2506,1.0,10,I1
소상공인 상가정보,indsLclsNm,str,2506,2506,1.0,10,숙박
소상공인 상가정보,indsMclsCd,str,2506,2506,1.0,68,I101
소상공인 상가정보,indsMclsNm,str,2506,2506,1.0,68,일반 숙박
소상공인 상가정보,indsSclsCd,str,2506,2506,1.0,187,I10101
소상공인 상가정보,indsSclsNm,str,2506,2506,1.0,187,호텔/리조트
소상공인 상가정보,ksicCd,str,2504,2506,0.9992,177,I55101
소상공인 상가정보,ksicNm,str,2504,2506,0.9992,177,호텔업
소상공인 상가정보,ctprvnCd,str,2506,2506,1.0,1,11
소상공인 상가정보,ctprvnNm,str,2506,2506,1.0,1,서울특별시
소상공인 상가정보,signguCd,str,2506,2506,1.0,1,11680
소상공인 상가정보,signguNm,str,2506,2506,1.0,1,강남구
소상공인 상가정보,adongCd,str,2506,2506,1.0,2,11680580
소상공인 상가정보,adongNm,str,2506,2506,1.0,2,삼성1동
소상공인 상가정보,ldongCd,str,2506,2506,1.0,2,1168010500
소상공인 상가정보,ldongNm,str,2506,2506,1.0,2,삼성동
소상공인 상가정보,lnoCd,str,2506,2506,1.0,235,1168010500101580000
소상공인 상가정보,plotSctCd,str,2506,2506,1.0,1,1
소상공인 상가정보,plotSctNm,str,2506,2506,1.0,1,대지
소상공인 상가정보,lnoMnno,int,2506,2506,1.0,36,158
소상공인 상가정보,lnoSlno,int,2037,2506,0.8128,32,3
소상공인 상가정보,lnoAdr,str,2506,2506,1.0,235,서울특별시 강남구 삼성동 158
소상공인 상가정보,rdnmCd,str,2506,2506,1.0,32,116804166436
소상공인 상가정보,rdnm,str,2506,2506,1.0,32,서울특별시 강남구 삼성로96길
소상공인 상가정보,bldMnno,int,2506,2506,1.0,89,20
소상공인 상가정보,bldSlno,int,129,2506,0.0515,11,6
소상공인 상가정보,bldMngNo,str,2505,2506,0.9996,229,1168010500101580000016825
소상공인 상가정보,bldNm,str,1914,2506,0.7638,396,건영빌딩
소상공인 상가정보,rdnmAdr,str,2506,2506,1.0,229,서울특별시 강남구 삼성로96길 20
소상공인 상가정보,oldZipcd,str,2506,2506,1.0,26,135880
소상공인 상가정보,newZipcd,str,2506,2506,1.0,18,06169
소상공인 상가정보,dongNo,unknown,0,2506,0.0,0,
소상공인 상가정보,flrNo,str,1864,2506,0.7438,41,3
소상공인 상가정보,hoNo,unknown,0,2506,0.0,0,
소상공인 상가정보,lon,float,2506,2506,1.0,237,127.057592093365
소상공인 상가정보,lat,float,2506,2506,1.0,237,37.5089318316191
서울시 상권분석서비스,STDR_YYQU_CD,str,75912,75912,1.0,1,20262
서울시 상권분석서비스,TRDAR_SE_CD,str,75912,75912,1.0,4,U
서울시 상권분석서비스,TRDAR_SE_CD_NM,str,75912,75912,1.0,4,관광특구
서울시 상권분석서비스,TRDAR_CD,str,75912,75912,1.0,1650,3001491
서울시 상권분석서비스,TRDAR_CD_NM,str,75912,75912,1.0,1650,이태원 관광특구
서울시 상권분석서비스,SVC_INDUTY_CD,str,75912,75912,1.0,100,CS100001
서울시 상권분석서비스,SVC_INDUTY_CD_NM,str,75912,75912,1.0,100,한식음식점
서울시 상권분석서비스,SIMILR_INDUTY_STOR_CO,float,75912,75912,1.0,301,156.0
서울시 상권분석서비스,STOR_CO,float,75912,75912,1.0,302,142.0
서울시 상권분석서비스,FRC_STOR_CO,float,75912,75912,1.0,63,14.0
서울시 상권분석서비스,OPBIZ_RT,float,75912,75912,1.0,43,4.0
서울시 상권분석서비스,OPBIZ_STOR_CO,float,75912,75912,1.0,23,6.0
서울시 상권분석서비스,CLSBIZ_RT,float,75912,75912,1.0,48,4.0
서울시 상권분석서비스,CLSBIZ_STOR_CO,float,75912,75912,1.0,30,6.0
