bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220801055823,두진아이디주,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580000,1,대지,158,,서울특별시 강남구 삼성동 158,116804166436,서울특별시 강남구 삼성로96길,20,,1168010500101580000016825,,서울특별시 강남구 삼성로96길 20,135880,06169,,,,127.057592093365,37.5089318316191
MA010120220805449692,에이펙공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580003,1,대지,158,3,서울특별시 강남구 삼성동 158-3,116804166762,서울특별시 강남구 테헤란로83길,20,,1168010500101580003016836,건영빌딩,서울특별시 강남구 테헤란로83길 20,135880,06169,,3,,127.057648540947,37.5087966533863
MA010120220803790532,부동산중개법인동행디앤아이,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580003,1,대지,158,3,서울특별시 강남구 삼성동 158-3,116804166762,서울특별시 강남구 테헤란로83길,20,,1168010500101580003016836,건영빌딩,서울특별시 강남구 테헤란로83길 20,135880,06169,,3,,127.057648540947,37.5087966533863
MA010120220801058051,빌텍주,,I2,음식,I207,구내식당·뷔페,I20701,구내식당,I56130,기관 구내식당업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101540017,1,대지,154,17,서울특별시 강남구 삼성동 154-17,116804166436,서울특별시 강남구 삼성로96길,23,,1168010500101540017016777,,서울특별시 강남구 삼성로96길 23,135879,06167,,3,,127.05766026013,37.5093282403926
MA010120220804055427,디비아이엔씨,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101540017,1,대지,154,17,서울특별시 강남구 삼성동 154-17,116804166436,서울특별시 강남구 삼성로96길,23,,1168010500101540017016777,,서울특별시 강남구 삼성로96길 23,135879,06167,,7,,127.05766026013,37.5093282403926
MA010120220800254084,핌크리에이티브주,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580025,1,대지,158,25,서울특별시 강남구 삼성동 158-25,116804166762,서울특별시 강남구 테헤란로83길,18,,1168010500101580025016847,매직킹덤빌딩,서울특별시 강남구 테헤란로83길 18,135880,06169,,10,,127.057806780693,37.5086614253527
MA010120220800458682,이오스앤컴퍼니,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580025,1,대지,158,25,서울특별시 강남구 삼성동 158-25,116804166762,서울특별시 강남구 테헤란로83길,18,,1168010500101580025016847,,서울특별시 강남구 테헤란로83길 18,135880,06169,,6,,127.057806780693,37.5086614253527
MA010120220801035332,김밥천국,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,삼성역두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,1,,127.057829255254,37.5084722033658
MA010120220802473910,료칸플래너,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,N75992,"전시, 컨벤션 및 행사 대행업",11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220804219629,승오이앤알주,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,삼성역두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,8,,127.057829255254,37.5084722033658
MA010120220804956693,환은미디어,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220800467552,월드지엔에스,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220801069678,학림프린트주,,N1,시설관리·임대,N107,사무 지원,N10703,복사업,N75912,복사업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움비,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220804493214,브릿지파트너스한강,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220804300142,씨엘씨앤디주,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220800769334,리드어리치,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220801045568,공씨네주먹밥,삼성점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101580004,1,대지,158,4,서울특별시 강남구 삼성동 158-4,116804166762,서울특별시 강남구 테헤란로83길,14,,1168010500101580004027087,두산위브센티움,서울특별시 강남구 테헤란로83길 14,135880,06169,,,,127.057829255254,37.5084722033658
MA010120220800472844,씨엔케이와이,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,1168010500101540010,1,대지,154,10,서울특별시 강남구 삼성동 154-10,116804166765,서울특별시 강남구 테헤란로87길,33,,1168010500101540010016710,융전빌딩,서울특별시 강남구 테헤란로87길 33,135879,06167,,8,,127.057920781397,37.5098236654325
