SVC_INDUTY_CD,service_id,service_name
CS100001,1,한식음식점
CS100002,2,중식음식점
CS100003,3,일식음식점
CS100004,4,양식음식점
CS100005,6,제과·디저트점
CS100006,7,패스트푸드·치킨전문점
CS100007,7,패스트푸드·치킨전문점
CS100008,8,분식·간이음식점
CS100009,9,주점·호프
CS100010,10,카페·음료점
CS200001,36,일반교습·입시학원
CS200002,37,외국어·컴퓨터학원
CS200003,38,예술·음악학원
CS200004,37,외국어·컴퓨터학원
CS200005,49,스포츠클럽·스포츠강습
CS200006,40,일반의원
CS200007,41,치과의원
CS200008,42,한의원
CS200009,44,동물병원
CS200010,64,법무 서비스
CS200011,64,법무 서비스
CS200012,64,법무 서비스
CS200013,64,법무 서비스
CS200014,65,회계·세무 서비스
CS200015,65,회계·세무 서비스
CS200016,47,당구장·볼링장
CS200017,48,골프연습장
CS200018,47,당구장·볼링장
CS200019,45,PC방·전자게임장
CS200020,45,PC방·전자게임장
CS200021,50,복권방·기타 오락시설
CS200022,50,복권방·기타 오락시설
CS200023,56,컴퓨터·통신기기 수리
CS200024,49,스포츠클럽·스포츠강습
CS200025,58,자동차·모터사이클 정비·세차
CS200026,58,자동차·모터사이클 정비·세차
CS200027,58,자동차·모터사이클 정비·세차
CS200028,52,미용실
CS200029,53,네일·피부관리
CS200030,53,네일·피부관리
CS200031,55,세탁소
CS200032,57,가전·생활용품 수리
CS200033,63,부동산 중개·관련 서비스
CS200034,60,일반숙박업
CS200035,61,게스트하우스
CS200036,62,고시원·기타 숙박업
CS200037,46,노래방
CS200038,39,독서실·교육지원서비스
CS200039,51,문화·여가공간
CS200040,68,디자인·사진·인쇄·콘텐츠 제작
CS200041,68,디자인·사진·인쇄·콘텐츠 제작
CS200042,69,여행·통번역 서비스
CS200043,70,사업지원·시설관리·대여 서비스
CS200044,69,여행·통번역 서비스
CS200045,70,사업지원·시설관리·대여 서비스
CS200046,70,사업지원·시설관리·대여 서비스
CS200047,70,사업지원·시설관리·대여 서비스
CS300001,11,슈퍼마켓·종합소매점
CS300002,12,편의점
CS300003,21,컴퓨터·휴대폰·통신기기 판매점
CS300004,21,컴퓨터·휴대폰·통신기기 판매점
CS300005,14,주류·음료·담배 판매점
CS300006,13,식료품 전문판매점
CS300007,13,식료품 전문판매점
CS300008,13,식료품 전문판매점
CS300009,13,식료품 전문판매점
CS300010,13,식료품 전문판매점
CS300011,15,의류·섬유제품 판매점
CS300012,15,의류·섬유제품 판매점
CS300013,15,의류·섬유제품 판매점
CS300014,16,신발·가방·가죽제품 판매점
CS300015,16,신발·가방·가죽제품 판매점
CS300016,19,안경·정밀기기 판매점
CS300017,20,시계·귀금속 판매점
CS300018,18,의약품·의료기기 판매점
CS300019,18,의약품·의료기기 판매점
CS300020,27,서적·문구 판매점
CS300021,27,서적·문구 판매점
CS300022,17,화장품·미용재료 판매점
CS300023,17,화장품·미용재료 판매점
CS300024,29,스포츠·레저용품 판매점
CS300025,30,자전거·기타 운송장비 판매점
CS300026,28,완구·취미·악기·예술품 판매점
CS300027,15,의류·섬유제품 판매점
CS300028,31,화초·식물 판매점
CS300029,32,반려동물·용품 판매점
CS300030,35,중고·재생품 판매점
CS300031,23,가구 판매점
CS300032,22,가전제품 판매점
CS300033,24,철물·건설자재 판매점
CS300034,28,완구·취미·악기·예술품 판매점
CS300035,25,인테리어·조명용품 판매점
CS300036,25,인테리어·조명용품 판매점
CS300037,33,자동차·모터사이클·부품 판매점
CS300038,33,자동차·모터사이클·부품 판매점
CS300039,33,자동차·모터사이클·부품 판매점
CS300040,35,중고·재생품 판매점
CS300041,28,완구·취미·악기·예술품 판매점
CS300042,34,주유·연료 판매점
