seoul_code,seoul_name,top1_score,top1_code,top1_name,top1_major,top2_score,top2_code,top2_name,top2_major,top3_score,top3_code,top3_name,top3_major
CS100001,한식음식점,1.0,I201,한식 음식점업,음식점업,0.6667,I202,중식 음식점업,음식점업,0.6667,I203,일식 음식점업,음식점업
CS100002,중식음식점,1.0,I202,중식 음식점업,음식점업,0.6667,I201,한식 음식점업,음식점업,0.6667,I203,일식 음식점업,음식점업
CS100003,일식음식점,1.0,I203,일식 음식점업,음식점업,0.6667,I201,한식 음식점업,음식점업,0.6667,I202,중식 음식점업,음식점업
CS100004,양식음식점,0.8,I204,서양식 음식점업,음식점업,0.6667,I201,한식 음식점업,음식점업,0.6667,I202,중식 음식점업,음식점업
CS100005,제과점,0.2222,M114,인쇄 및 제품 제작업,"전문, 과학 및 기술 서비스업",0.2222,M115,"그 외 기타 전문, 과학 및 기술 서비스업","전문, 과학 및 기술 서비스업",0.2222,S205,가전제품 수리업,수리 및 개인 서비스업
CS100006,패스트푸드점,0.2222,R103,스포츠 서비스업,"예술, 스포츠 및 여가관련 서비스업",0.1818,S211,기타 개인서비스,수리 및 개인 서비스업,0.0,G202,자동차 부품 및 내장품 소매업,소매업
CS100007,치킨전문점,0.4,M112,전문 디자인업,"전문, 과학 및 기술 서비스업",0.3636,G221,기타 상품 전문 소매업,소매업,0.3636,M115,"그 외 기타 전문, 과학 및 기술 서비스업","전문, 과학 및 기술 서비스업"
CS100008,분식전문점,0.4,M112,전문 디자인업,"전문, 과학 및 기술 서비스업",0.3636,G221,기타 상품 전문 소매업,소매업,0.3636,M115,"그 외 기타 전문, 과학 및 기술 서비스업","전문, 과학 및 기술 서비스업"
CS100009,호프-간이주점,0.4357,I211,주점업,음식점업,0.4,I210,기타 간이 음식점업,음식점업,0.2,S207,이용 및 미용업,수리 및 개인 서비스업
CS100010,커피-음료,0.5,G206,음료 소매업,소매업,0.4,I212,비알코올 음료점업,음식점업,0.25,G214,연료소매업,소매업
CS200001,일반교습학원,0.5,P105,일반 교육기관,교육 서비스업,0.4,P107,교육 지원 서비스업,교육 서비스업,0.2857,I101,일반 및 생활 숙박시설 운영업,숙박업
CS200002,외국어학원,0.4,I206,기타 외국식 음식점업,음식점업,0.2857,Q101,병원,보건의료업,0.2857,Q102,의원,보건의료업
CS200003,예술학원,0.3333,Q101,병원,보건의료업,0.3333,Q102,의원,보건의료업,0.25,G218,"예술품, 기념품 및 장식용품 소매업",소매업
CS200004,컴퓨터학원,0.4286,S201,컴퓨터 및 주변 기기 수리업,수리 및 개인 서비스업,0.2857,Q101,병원,보건의료업,0.2857,Q102,의원,보건의료업
CS200005,스포츠 강습,0.9,R103,스포츠 서비스업,"예술, 스포츠 및 여가관련 서비스업",0.2,S211,기타 개인서비스,수리 및 개인 서비스업,0.0,G202,자동차 부품 및 내장품 소매업,소매업
CS200006,일반의원,0.8167,Q102,의원,보건의료업,0.4,P105,일반 교육기관,교육 서비스업,0.3333,I101,일반 및 생활 숙박시설 운영업,숙박업
CS200007,치과의원,0.8167,Q102,의원,보건의료업,0.3333,M111,수의업,"전문, 과학 및 기술 서비스업",0.3333,Q101,병원,보건의료업
CS200008,한의원,0.95,Q102,의원,보건의료업,0.4,M111,수의업,"전문, 과학 및 기술 서비스업",0.4,Q101,병원,보건의료업
CS200009,동물병원,0.8167,Q101,병원,보건의료업,0.3333,Q102,의원,보건의료업,0.2667,G220,애완용 동물 및 관련용품 소매업,소매업
CS200010,변호사사무소,0.4,N107,사무 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.2857,M106,시장 조사 및 여론 조사업,"전문, 과학 및 기술 서비스업",0.2667,G203,모터사이클 및 부품 소매업,소매업
CS200011,변리사사무소,0.4,N107,사무 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.2857,M106,시장 조사 및 여론 조사업,"전문, 과학 및 기술 서비스업",0.2667,G203,모터사이클 및 부품 소매업,소매업
CS200012,법무사사무소,0.4,M103,법무관련 서비스업,"전문, 과학 및 기술 서비스업",0.4,N107,사무 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.2857,M106,시장 조사 및 여론 조사업,"전문, 과학 및 기술 서비스업"
CS200013,기타법무서비스,0.6,S211,기타 개인서비스,수리 및 개인 서비스업,0.4444,M103,법무관련 서비스업,"전문, 과학 및 기술 서비스업",0.25,R103,스포츠 서비스업,"예술, 스포츠 및 여가관련 서비스업"
CS200014,회계사사무소,0.5,M104,회계 및 세무관련 서비스업,"전문, 과학 및 기술 서비스업",0.4,N107,사무 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.3077,G217,시계 및 귀금속 소매업,소매업
CS200015,세무사사무소,0.4,N107,사무 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.3333,M104,회계 및 세무관련 서비스업,"전문, 과학 및 기술 서비스업",0.2857,M106,시장 조사 및 여론 조사업,"전문, 과학 및 기술 서비스업"
CS200016,당구장,0.2857,G211,가구 소매업,소매업,0.2222,I207,구내식당 및 뷔페,음식점업,0.2222,N109,운송장비 대여업,"사업시설 관리, 사업 지원 및 임대 서비스업"
CS200017,골프연습장,0.2222,G214,연료소매업,소매업,0.1818,N109,운송장비 대여업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.1818,S202,통신장비 수리업,수리 및 개인 서비스업
CS200018,볼링장,0.2222,N109,운송장비 대여업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.2222,S202,통신장비 수리업,수리 및 개인 서비스업,0.2222,S210,장례식장 및 관련 서비스업,수리 및 개인 서비스업
CS200019,PC방,0.1538,N102,건물ㆍ산업설비 청소 및 방제 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업",0.1053,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",소매업,0.0,G202,자동차 부품 및 내장품 소매업,소매업
