sbiz_code,sbiz_major,sbiz_name,seoul_code,seoul_name,score,rank
I201,음식점업,한식 음식점업,CS100001,한식음식점,1.0,1
I202,음식점업,중식 음식점업,CS100001,한식음식점,0.6667,2
I203,음식점업,일식 음식점업,CS100001,한식음식점,0.6667,3
I204,음식점업,서양식 음식점업,CS100001,한식음식점,0.6,4
I206,음식점업,기타 외국식 음식점업,CS100001,한식음식점,0.6,5
I202,음식점업,중식 음식점업,CS100002,중식음식점,1.0,1
I201,음식점업,한식 음식점업,CS100002,중식음식점,0.6667,2
I203,음식점업,일식 음식점업,CS100002,중식음식점,0.6667,3
I204,음식점업,서양식 음식점업,CS100002,중식음식점,0.6,4
I206,음식점업,기타 외국식 음식점업,CS100002,중식음식점,0.6,5
I203,음식점업,일식 음식점업,CS100003,일식음식점,1.0,1
I201,음식점업,한식 음식점업,CS100003,일식음식점,0.6667,2
I202,음식점업,중식 음식점업,CS100003,일식음식점,0.6667,3
I204,음식점업,서양식 음식점업,CS100003,일식음식점,0.6,4
I206,음식점업,기타 외국식 음식점업,CS100003,일식음식점,0.6,5
I204,음식점업,서양식 음식점업,CS100004,양식음식점,0.8,1
I201,음식점업,한식 음식점업,CS100004,양식음식점,0.6667,2
I202,음식점업,중식 음식점업,CS100004,양식음식점,0.6667,3
I203,음식점업,일식 음식점업,CS100004,양식음식점,0.6667,4
I206,음식점업,기타 외국식 음식점업,CS100004,양식음식점,0.6,5
M114,"전문, 과학 및 기술 서비스업",인쇄 및 제품 제작업,CS100005,제과점,0.2222,1
M115,"전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",CS100005,제과점,0.2222,2
S205,수리 및 개인 서비스업,가전제품 수리업,CS100005,제과점,0.2222,3
N102,"사업시설 관리, 사업 지원 및 임대 서비스업",건물ㆍ산업설비 청소 및 방제 서비스업,CS100005,제과점,0.1538,4
G208,소매업,가전제품 및 정보 통신장비 소매업,CS100005,제과점,0.1333,5
R103,"예술, 스포츠 및 여가관련 서비스업",스포츠 서비스업,CS100006,패스트푸드점,0.2222,1
S211,수리 및 개인 서비스업,기타 개인서비스,CS100006,패스트푸드점,0.1818,2
G202,소매업,자동차 부품 및 내장품 소매업,CS100006,패스트푸드점,0.0,3
G203,소매업,모터사이클 및 부품 소매업,CS100006,패스트푸드점,0.0,4
G204,소매업,종합 소매업,CS100006,패스트푸드점,0.0,5
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS100007,치킨전문점,0.4,1
G221,소매업,기타 상품 전문 소매업,CS100007,치킨전문점,0.3636,2
M115,"전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",CS100007,치킨전문점,0.3636,3
S205,수리 및 개인 서비스업,가전제품 수리업,CS100007,치킨전문점,0.1818,4
G213,소매업,"문화, 오락 및 여가 용품 소매업",CS100007,치킨전문점,0.1333,5
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS100008,분식전문점,0.4,1
G221,소매업,기타 상품 전문 소매업,CS100008,분식전문점,0.3636,2
M115,"전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",CS100008,분식전문점,0.3636,3
I201,음식점업,한식 음식점업,CS100008,분식전문점,0.2222,4
I202,음식점업,중식 음식점업,CS100008,분식전문점,0.2222,5
I211,음식점업,주점업,CS100009,호프-간이주점,0.4357,1
I210,음식점업,기타 간이 음식점업,CS100009,호프-간이주점,0.4,2
S207,수리 및 개인 서비스업,이용 및 미용업,CS100009,호프-간이주점,0.2,3
S204,수리 및 개인 서비스업,모터사이클 수리업,CS100009,호프-간이주점,0.1538,4
G203,소매업,모터사이클 및 부품 소매업,CS100009,호프-간이주점,0.1333,5
G206,소매업,음료 소매업,CS100010,커피-음료,0.5,1
I212,음식점업,비알코올 음료점업,CS100010,커피-음료,0.4,2
G214,소매업,연료소매업,CS100010,커피-음료,0.25,3
I201,음식점업,한식 음식점업,CS100010,커피-음료,0.25,4
I202,음식점업,중식 음식점업,CS100010,커피-음료,0.25,5
P105,교육 서비스업,일반 교육기관,CS200001,일반교습학원,0.5,1
P107,교육 서비스업,교육 지원 서비스업,CS200001,일반교습학원,0.4,2
I101,숙박업,일반 및 생활 숙박시설 운영업,CS200001,일반교습학원,0.2857,3
Q101,보건의료업,병원,CS200001,일반교습학원,0.25,4
Q102,보건의료업,의원,CS200001,일반교습학원,0.25,5
I206,음식점업,기타 외국식 음식점업,CS200002,외국어학원,0.4,1
Q101,보건의료업,병원,CS200002,외국어학원,0.2857,2
Q102,보건의료업,의원,CS200002,외국어학원,0.2857,3
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200002,외국어학원,0.2222,4
N108,"사업시설 관리, 사업 지원 및 임대 서비스업",기타 사업 지원 서비스업,CS200002,외국어학원,0.2222,5
Q101,보건의료업,병원,CS200003,예술학원,0.3333,1
Q102,보건의료업,의원,CS200003,예술학원,0.3333,2
G218,소매업,"예술품, 기념품 및 장식용품 소매업",CS200003,예술학원,0.25,3
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200003,예술학원,0.25,4
N108,"사업시설 관리, 사업 지원 및 임대 서비스업",기타 사업 지원 서비스업,CS200003,예술학원,0.25,5
S201,수리 및 개인 서비스업,컴퓨터 및 주변 기기 수리업,CS200004,컴퓨터학원,0.4286,1
Q101,보건의료업,병원,CS200004,컴퓨터학원,0.2857,2
Q102,보건의료업,의원,CS200004,컴퓨터학원,0.2857,3
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200004,컴퓨터학원,0.2222,4
N108,"사업시설 관리, 사업 지원 및 임대 서비스업",기타 사업 지원 서비스업,CS200004,컴퓨터학원,0.2222,5
R103,"예술, 스포츠 및 여가관련 서비스업",스포츠 서비스업,CS200005,스포츠 강습,0.9,1
S211,수리 및 개인 서비스업,기타 개인서비스,CS200005,스포츠 강습,0.2,2
G202,소매업,자동차 부품 및 내장품 소매업,CS200005,스포츠 강습,0.0,3
G203,소매업,모터사이클 및 부품 소매업,CS200005,스포츠 강습,0.0,4
G204,소매업,종합 소매업,CS200005,스포츠 강습,0.0,5
