STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001491,이태원 관광특구,CS100001,한식음식점,156.0,142.0,14.0,4.0,6.0,4.0,6.0
20262,U,관광특구,3001491,이태원 관광특구,CS100002,중식음식점,20.0,19.0,1.0,10.0,2.0,5.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS100003,일식음식점,18.0,18.0,0.0,6.0,1.0,6.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS100004,양식음식점,208.0,203.0,5.0,1.0,2.0,3.0,6.0
20262,U,관광특구,3001491,이태원 관광특구,CS100005,제과점,36.0,31.0,5.0,8.0,3.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS100006,패스트푸드점,25.0,19.0,6.0,8.0,2.0,4.0,1.0
20262,U,관광특구,3001491,이태원 관광특구,CS100007,치킨전문점,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS100008,분식전문점,23.0,20.0,3.0,9.0,2.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS100009,호프-간이주점,123.0,117.0,6.0,5.0,6.0,5.0,6.0
20262,U,관광특구,3001491,이태원 관광특구,CS100010,커피-음료,108.0,88.0,20.0,6.0,6.0,7.0,8.0
20262,U,관광특구,3001491,이태원 관광특구,CS200001,일반교습학원,9.0,9.0,0.0,11.0,1.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200002,외국어학원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200003,예술학원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200005,스포츠 강습,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200006,일반의원,10.0,10.0,0.0,10.0,1.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200007,치과의원,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200008,한의원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200010,변호사사무소,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200011,변리사사무소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200012,법무사사무소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200013,기타법무서비스,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS200015,세무사사무소,6.0,6.0,0.0,0.0,0.0,0.0,0.0
