sbiz_code,sbiz_major,sbiz_name,seoul_code,seoul_name,score,rank
G203,소매업,모터사이클 및 부품 소매업,CS300039,모터사이클및부품,1.0,
I201,음식점업,한식 음식점업,CS100001,한식음식점,1.0,
I202,음식점업,중식 음식점업,CS100002,중식음식점,1.0,
I203,음식점업,일식 음식점업,CS100003,일식음식점,1.0,
S204,수리 및 개인 서비스업,모터사이클 수리업,CS200027,모터사이클수리,1.0,
S205,수리 및 개인 서비스업,가전제품 수리업,CS200032,가전제품수리,1.0,
G217,소매업,시계 및 귀금속 소매업,CS300017,시계및귀금속,0.9833,
S203,수리 및 개인 서비스업,자동차 수리 및 세차업,CS200025,자동차수리,0.9833,
Q102,보건의료업,의원,CS200008,한의원,0.95,
S205,수리 및 개인 서비스업,가전제품 수리업,CS300032,가전제품,0.95,
S209,수리 및 개인 서비스업,세탁업,CS200031,세탁소,0.95,
R103,"예술, 스포츠 및 여가관련 서비스업",스포츠 서비스업,CS200005,스포츠 강습,0.9,
R103,"예술, 스포츠 및 여가관련 서비스업",스포츠 서비스업,CS200024,스포츠클럽,0.9,
G202,소매업,자동차 부품 및 내장품 소매업,CS300038,자동차부품,0.8167,
G211,소매업,가구 소매업,CS300031,가구,0.8167,
Q101,보건의료업,병원,CS200009,동물병원,0.8167,
Q102,보건의료업,의원,CS200006,일반의원,0.8167,
Q102,보건의료업,의원,CS200007,치과의원,0.8167,
I204,음식점업,서양식 음식점업,CS100004,양식음식점,0.8,
N105,"사업시설 관리, 사업 지원 및 임대 서비스업",여행사 및 기타 여행 보조 서비스업,CS200044,여행사,0.75,
N110,"사업시설 관리, 사업 지원 및 임대 서비스업",개인 및 가정용품 대여업,CS200047,가정용품임대,0.7143,
S204,수리 및 개인 서비스업,모터사이클 수리업,CS300039,모터사이클및부품,0.7143,
I201,음식점업,한식 음식점업,CS100002,중식음식점,0.6667,
I201,음식점업,한식 음식점업,CS100003,일식음식점,0.6667,
I201,음식점업,한식 음식점업,CS100004,양식음식점,0.6667,
I202,음식점업,중식 음식점업,CS100001,한식음식점,0.6667,
I202,음식점업,중식 음식점업,CS100003,일식음식점,0.6667,
I202,음식점업,중식 음식점업,CS100004,양식음식점,0.6667,
I203,음식점업,일식 음식점업,CS100001,한식음식점,0.6667,
I203,음식점업,일식 음식점업,CS100002,중식음식점,0.6667,
I203,음식점업,일식 음식점업,CS100004,양식음식점,0.6667,
S202,수리 및 개인 서비스업,통신장비 수리업,CS200023,통신기기수리,0.6667,
G208,소매업,가전제품 및 정보 통신장비 소매업,CS300032,가전제품,0.65,
G219,소매업,화초 및 식물 소매업,CS300028,화초,0.65,
I211,음식점업,주점업,CS300042,주유소,0.65,
G203,소매업,모터사이클 및 부품 소매업,CS200027,모터사이클수리,0.625,
G212,소매업,기타 생활용품 소매업,CS300040,재생용품 판매점,0.6154,
N109,"사업시설 관리, 사업 지원 및 임대 서비스업",운송장비 대여업,CS300025,자전거 및 기타운송장비,0.6154,
I204,음식점업,서양식 음식점업,CS100001,한식음식점,0.6,
I204,음식점업,서양식 음식점업,CS100002,중식음식점,0.6,
I204,음식점업,서양식 음식점업,CS100003,일식음식점,0.6,
I206,음식점업,기타 외국식 음식점업,CS100001,한식음식점,0.6,
I206,음식점업,기타 외국식 음식점업,CS100002,중식음식점,0.6,
I206,음식점업,기타 외국식 음식점업,CS100003,일식음식점,0.6,
I206,음식점업,기타 외국식 음식점업,CS100004,양식음식점,0.6,
L102,부동산업,부동산관련 서비스업,CS200033,부동산중개업,0.6,
S211,수리 및 개인 서비스업,기타 개인서비스,CS200013,기타법무서비스,0.6,
S206,수리 및 개인 서비스업,기타 개인 및 가정용품 수리업,CS200032,가전제품수리,0.5714,
S206,수리 및 개인 서비스업,기타 개인 및 가정용품 수리업,CS200047,가정용품임대,0.5714,
S207,수리 및 개인 서비스업,이용 및 미용업,CS200028,미용실,0.5714,
S201,수리 및 개인 서비스업,컴퓨터 및 주변 기기 수리업,CS300003,컴퓨터및주변장치판매,0.5556,
G218,소매업,"예술품, 기념품 및 장식용품 소매업",CS300041,예술품,0.55,
I211,음식점업,주점업,CS300005,주류도매,0.55,
G222,소매업,중고 상품 소매업,CS300037,중고차판매,0.5455,
S211,수리 및 개인 서비스업,기타 개인서비스,CS200042,통번역서비스,0.5455,
G220,소매업,애완용 동물 및 관련용품 소매업,CS300029,애완동물,0.5333,
N102,"사업시설 관리, 사업 지원 및 임대 서비스업",건물ㆍ산업설비 청소 및 방제 서비스업,CS200043,건축물청소,0.5333,
S201,수리 및 개인 서비스업,컴퓨터 및 주변 기기 수리업,CS200023,통신기기수리,0.5333,
G206,소매업,음료 소매업,CS100010,커피-음료,0.5,
G209,소매업,"섬유, 의복, 신발 및 가죽제품 소매업",CS300027,섬유제품,0.5,
G211,소매업,가구 소매업,CS300030,중고가구,0.5,
M104,"전문, 과학 및 기술 서비스업",회계 및 세무관련 서비스업,CS200014,회계사사무소,0.5,
P105,교육 서비스업,일반 교육기관,CS200001,일반교습학원,0.5,
S203,수리 및 개인 서비스업,자동차 수리 및 세차업,CS200026,자동차미용,0.5,
S203,수리 및 개인 서비스업,자동차 수리 및 세차업,CS300038,자동차부품,0.5,
S207,수리 및 개인 서비스업,이용 및 미용업,CS300023,미용재료,0.5,
G215,소매업,"의약품, 의료용 기구, 화장품 및 방향제 소매업",CS300018,의약품,0.4658,
G215,소매업,"의약품, 의료용 기구, 화장품 및 방향제 소매업",CS300022,화장품,0.4658,
G208,소매업,가전제품 및 정보 통신장비 소매업,CS200032,가전제품수리,0.4444,
I210,음식점업,기타 간이 음식점업,CS100001,한식음식점,0.4444,
I210,음식점업,기타 간이 음식점업,CS100002,중식음식점,0.4444,
I210,음식점업,기타 간이 음식점업,CS100003,일식음식점,0.4444,
I210,음식점업,기타 간이 음식점업,CS100004,양식음식점,0.4444,
M103,"전문, 과학 및 기술 서비스업",법무관련 서비스업,CS200013,기타법무서비스,0.4444,
M113,"전문, 과학 및 기술 서비스업",사진 촬영 및 처리업,CS200041,사진관,0.4444,
S207,수리 및 개인 서비스업,이용 및 미용업,CS200026,자동차미용,0.4444,
G209,소매업,"섬유, 의복, 신발 및 가죽제품 소매업",CS300014,신발,0.4357,
I211,음식점업,주점업,CS100009,호프-간이주점,0.4357,
S201,수리 및 개인 서비스업,컴퓨터 및 주변 기기 수리업,CS200004,컴퓨터학원,0.4286,
G202,소매업,자동차 부품 및 내장품 소매업,CS200025,자동차수리,0.4,
G202,소매업,자동차 부품 및 내장품 소매업,CS200026,자동차미용,0.4,
G212,소매업,기타 생활용품 소매업,CS300036,조명용품,0.4,
G222,소매업,중고 상품 소매업,CS300030,중고가구,0.4,
I206,음식점업,기타 외국식 음식점업,CS200002,외국어학원,0.4,
I210,음식점업,기타 간이 음식점업,CS100009,호프-간이주점,0.4,
I212,음식점업,비알코올 음료점업,CS100010,커피-음료,0.4,
L102,부동산업,부동산관련 서비스업,CS200030,피부관리실,0.4,
M103,"전문, 과학 및 기술 서비스업",법무관련 서비스업,CS200012,법무사사무소,0.4,
M105,"전문, 과학 및 기술 서비스업",광고업,CS200036,고시원,0.4,
M111,"전문, 과학 및 기술 서비스업",수의업,CS200008,한의원,0.4,
M111,"전문, 과학 및 기술 서비스업",수의업,CS300002,편의점,0.4,
M111,"전문, 과학 및 기술 서비스업",수의업,CS300018,의약품,0.4,
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS100007,치킨전문점,0.4,
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS100008,분식전문점,0.4,
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS200020,전자게임장,0.4,
M112,"전문, 과학 및 기술 서비스업",전문 디자인업,CS300043,전자상거래업,0.4,
M114,"전문, 과학 및 기술 서비스업",인쇄 및 제품 제작업,CS300027,섬유제품,0.4,
M114,"전문, 과학 및 기술 서비스업",인쇄 및 제품 제작업,CS300032,가전제품,0.4,
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200010,변호사사무소,0.4,
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200011,변리사사무소,0.4,
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200012,법무사사무소,0.4,
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200014,회계사사무소,0.4,
N107,"사업시설 관리, 사업 지원 및 임대 서비스업",사무 지원 서비스업,CS200015,세무사사무소,0.4,
P105,교육 서비스업,일반 교육기관,CS200006,일반의원,0.4,
P105,교육 서비스업,일반 교육기관,CS300011,일반의류,0.4,
P107,교육 서비스업,교육 지원 서비스업,CS200001,일반교습학원,0.4,
Q101,보건의료업,병원,CS200008,한의원,0.4,
Q101,보건의료업,병원,CS200036,고시원,0.4,
Q102,보건의료업,의원,CS200036,고시원,0.4,
Q102,보건의료업,의원,CS300002,편의점,0.4,
Q102,보건의료업,의원,CS300018,의약품,0.4,
R104,"예술, 스포츠 및 여가관련 서비스업",유원지 및 기타 오락관련 서비스업,CS200021,기타오락장,0.4,
S205,수리 및 개인 서비스업,가전제품 수리업,CS300027,섬유제품,0.4,
G209,소매업,"섬유, 의복, 신발 및 가죽제품 소매업",CS300032,가전제품,0.375,
G213,소매업,"문화, 오락 및 여가 용품 소매업",CS200047,가정용품임대,0.375,
S201,수리 및 개인 서비스업,컴퓨터 및 주변 기기 수리업,CS200027,모터사이클수리,0.375,
G219,소매업,화초 및 식물 소매업,CS200043,건축물청소,0.3636,
G219,소매업,화초 및 식물 소매업,CS300008,수산물판매,0.3636,
G221,소매업,기타 상품 전문 소매업,CS100007,치킨전문점,0.3636,
G221,소매업,기타 상품 전문 소매업,CS100008,분식전문점,0.3636,
M115,"전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",CS100007,치킨전문점,0.3636,
M115,"전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",CS100008,분식전문점,0.3636,
