(서울시)업종명,(서울시)코드명,top1 (공공데이터포털)업종명,top1 (공공데이터포털)코드명,top2 (공공데이터포털)업종명,top2 (공공데이터포털)코드명,top3 (공공데이터포털)업종명,top3 (공공데이터포털)코드명
한식음식점,CS100001,한식 음식점업,I201,,,,
중식음식점,CS100002,중식 음식점업,I202,,,,
일식음식점,CS100003,일식 음식점업,I203,,,,
양식음식점,CS100004,서양식 음식점업,I204,,,,
제과점,CS100005,기타 간이 음식점업,I210,,,,
패스트푸드점,CS100006,기타 간이 음식점업,I210,,,,
치킨전문점,CS100007,기타 간이 음식점업,I210,,,,
분식전문점,CS100008,기타 간이 음식점업,I210,,,,
호프-간이주점,CS100009,주점업,I211,,,,
커피-음료,CS100010,비알코올 음료점업,I212,,,,
일반교습학원,CS200001,기타 교육기관,P106,일반 교육기관,P105,교육 지원 서비스업,P107
외국어학원,CS200002,기타 교육기관,P106,일반 교육기관,P105,교육 지원 서비스업,P107
예술학원,CS200003,기타 교육기관,P106,일반 교육기관,P105,스포츠 서비스업,R103
컴퓨터학원,CS200004,기타 교육기관,P106,일반 교육기관,P105,교육 지원 서비스업,P107
스포츠 강습,CS200005,스포츠 서비스업,R103,기타 교육기관,P106,일반 교육기관,P105
일반의원,CS200006,의원,Q102,병원,Q101,기타 보건업,Q104
치과의원,CS200007,의원,Q102,병원,Q101,기타 보건업,Q104
한의원,CS200008,의원,Q102,병원,Q101,기타 보건업,Q104
동물병원,CS200009,수의업,M111,,,,
변호사사무소,CS200010,법무관련 서비스업,M103,,,,
변리사사무소,CS200011,법무관련 서비스업,M103,,,,
법무사사무소,CS200012,법무관련 서비스업,M103,,,,
기타법무서비스,CS200013,법무관련 서비스업,M103,,,,
회계사사무소,CS200014,회계 및 세무관련 서비스업,M104,,,,
세무사사무소,CS200015,회계 및 세무관련 서비스업,M104,,,,
당구장,CS200016,스포츠 서비스업,R103,,,,
골프연습장,CS200017,스포츠 서비스업,R103,,,,
볼링장,CS200018,스포츠 서비스업,R103,,,,
PC방,CS200019,유원지 및 기타 오락관련 서비스업,R104,,,,
전자게임장,CS200020,유원지 및 기타 오락관련 서비스업,R104,,,,
기타오락장,CS200021,유원지 및 기타 오락관련 서비스업,R104,,,,
복권방,CS200022,기타 상품 전문 소매업,G221,,,,
통신기기수리,CS200023,통신장비 수리업,S202,컴퓨터 및 주변 기기 수리업,S201,가전제품 수리업,S205
스포츠클럽,CS200024,스포츠 서비스업,R103,,,,
자동차수리,CS200025,자동차 수리 및 세차업,S203,자동차 부품 및 내장품 소매업,G202,,
자동차미용,CS200026,자동차 수리 및 세차업,S203,,,,
모터사이클수리,CS200027,모터사이클 수리업,S204,,,모터사이클 및 부품 소매업,G203
미용실,CS200028,이용 및 미용업,S207,,,기타 개인서비스,S211
네일숍,CS200029,,,이용 및 미용업,S207,,
피부관리실,CS200030,"욕탕, 마사지 및 기타 신체 관리 서비스업",S208,이용 및 미용업,S207,,
세탁소,CS200031,세탁업,S209,,,,
가전제품수리,CS200032,가전제품 수리업,S205,,,,
부동산중개업,CS200033,부동산관련 서비스업,L102,,,,
여관,CS200034,일반 및 생활 숙박시설 운영업,I101,기타 숙박업,I102,,
게스트하우스,CS200035,기타 숙박업,I102,,,,
고시원,CS200036,기타 숙박업,I102,,,,
노래방,CS200037,유원지 및 기타 오락관련 서비스업,R104,,,,
독서실,CS200038,,,교육 지원 서비스업,P107,,
DVD방,CS200039,유원지 및 기타 오락관련 서비스업,R104,,,,
녹음실,CS200040,유원지 및 기타 오락관련 서비스업,R104,,,,
사진관,CS200041,사진 촬영 및 처리업,M113,전문 디자인업,M112,,
통번역서비스,CS200042,기타 사업 지원 서비스업,N108,,,,
건축물청소,CS200043,건물ㆍ산업설비 청소 및 방제 서비스업,N102,사업시설 유지ㆍ관리 서비스업,N101,,
여행사,CS200044,여행사 및 기타 여행 보조 서비스업,N105,,,,
비디오/서적임대,CS200045,개인 및 가정용품 대여업,N110,,,,
의류임대,CS200046,개인 및 가정용품 대여업,N110,,,,
가정용품임대,CS200047,개인 및 가정용품 대여업,N110,,,,
슈퍼마켓,CS300001,,,종합 소매업,G204,,
편의점,CS300002,종합 소매업,G204,,,,
컴퓨터및주변장치판매,CS300003,가전제품 및 정보 통신장비 소매업,G208,,,,
핸드폰,CS300004,가전제품 및 정보 통신장비 소매업,G208,,,,
주류도매,CS300005,음료 소매업,G206,식료품 소매업,G205,종합 소매업,G204
미곡판매,CS300006,식료품 소매업,G205,,,,
육류판매,CS300007,식료품 소매업,G205,,,,
수산물판매,CS300008,식료품 소매업,G205,,,,
청과상,CS300009,식료품 소매업,G205,,,,
반찬가게,CS300010,식료품 소매업,G205,,,,
일반의류,CS300011,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,
한복점,CS300012,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,
유아의류,CS300013,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,
신발,CS300014,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,
가방,CS300015,"섬유, 의복, 신발 및 가죽제품 소매업",G209,,,,
안경,CS300016,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",G216,,,,
시계및귀금속,CS300017,시계 및 귀금속 소매업,G217,,,,
의약품,CS300018,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,
의료기기,CS300019,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,
서적,CS300020,"문화, 오락 및 여가 용품 소매업",G213,기타 상품 전문 소매업,G221,기타 생활용품 소매업,G212
문구,CS300021,,,기타 상품 전문 소매업,G221,,
화장품,CS300022,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,기타 상품 전문 소매업,G221,기타 생활용품 소매업,G212
미용재료,CS300023,"의약품, 의료용 기구, 화장품 및 방향제 소매업",G215,,,,
운동/경기용품,CS300024,"문화, 오락 및 여가 용품 소매업",G213,,,,
자전거 및 기타운송장비,CS300025,모터사이클 및 부품 소매업,G203,기타 상품 전문 소매업,G221,운송장비 대여업,N109
완구,CS300026,,,기타 생활용품 소매업,G212,,
섬유제품,CS300027,"섬유, 의복, 신발 및 가죽제품 소매업",G209,기타 생활용품 소매업,G212,기타 상품 전문 소매업,G221
화초,CS300028,화초 및 식물 소매업,G219,,,,
애완동물,CS300029,애완용 동물 및 관련용품 소매업,G220,,,,
중고가구,CS300030,중고 상품 소매업,G222,가구 소매업,G211,,
가구,CS300031,가구 소매업,G211,,,,
가전제품,CS300032,가전제품 및 정보 통신장비 소매업,G208,,,,
철물점,CS300033,"철물, 공구, 창호 및 건설자재 소매업",G210,,,,
악기,CS300034,"문화, 오락 및 여가 용품 소매업",G213,,,,
인테리어,CS300035,가구 소매업,G211,,,,
조명용품,CS300036,기타 생활용품 소매업,G212,,,,
