(서울시)업종명,(서울시)코드명,top1 (공공데이터포털)업종명,top1 (공공데이터포털)코드명,top2 (공공데이터포털)업종명,top2 (공공데이터포털)코드명,top3 (공공데이터포털)업종명,top3 (공공데이터포털)코드명,판정방식,근거 소분류
한식음식점,CS100001,한식 음식점업,I201,,,,,모델,기타 한식 음식점 / 백반/한정식 / 국/탕/찌개류
중식음식점,CS100002,중식 음식점업,I202,,,,,모델,중국집 / 마라탕/훠궈
일식음식점,CS100003,일식 음식점업,I203,,,,,모델,기타 일식 음식점 / 일식 회/초밥 / 일식 카레/돈가스/덮밥
양식음식점,CS100004,서양식 음식점업,I204,,,,,모델,기타 서양식 음식점 / 경양식 / 파스타/스테이크
제과점,CS100005,기타 간이 음식점업,I210,,,,,모델,빵/도넛 / 떡/한과
패스트푸드점,CS100006,기타 간이 음식점업,I210,,,,,모델,버거 / 피자 / 치킨
치킨전문점,CS100007,기타 간이 음식점업,I210,,,,,정확,치킨
분식전문점,CS100008,기타 간이 음식점업,I210,,,,,정확,김밥/만두/분식
호프-간이주점,CS100009,주점업,I211,,,,,모델,생맥주 전문 / 요리 주점 / 일반 유흥 주점
커피-음료,CS100010,비알코올 음료점업,I212,기타 간이 음식점업,I210,,,모델,카페 / 아이스크림/빙수
일반교습학원,CS200001,일반 교육기관,P105,기타 교육기관,P106,,,모델,입시·교과학원 / 전문자격/고시학원 / 그 외 기타 교육기관
외국어학원,CS200002,기타 교육기관,P106,,,,,정확,외국어학원
예술학원,CS200003,기타 교육기관,P106,,,,,모델,음악학원 / 미술학원 / 기타 예술/스포츠 교육기관
컴퓨터학원,CS200004,기타 교육기관,P106,,,,,정확,컴퓨터 학원
스포츠 강습,CS200005,기타 교육기관,P106,,,,,모델,요가/필라테스 학원 / 태권도/무술학원 / 레크리에이션 교육기관
일반의원,CS200006,의원,Q102,,,,,모델,기타 의원 / 내과/소아과 의원 / 외과 의원
치과의원,CS200007,의원,Q102,,,,,정확,치과의원
한의원,CS200008,의원,Q102,,,,,정확,한의원
동물병원,CS200009,수의업,M111,,,,,정확,동물병원
변호사사무소,CS200010,법무관련 서비스업,M103,,,,,모델,변호사
변리사사무소,CS200011,법무관련 서비스업,M103,,,,,모델,변리사
법무사사무소,CS200012,법무관련 서비스업,M103,,,,,모델,법무사
기타법무서비스,CS200013,법무관련 서비스업,M103,,,,,모델,기타 법무관련 서비스업
회계사사무소,CS200014,회계 및 세무관련 서비스업,M104,,,,,모델,공인회계사
세무사사무소,CS200015,회계 및 세무관련 서비스업,M104,,,,,모델,세무사
당구장,CS200016,스포츠 서비스업,R103,,,,,정확,당구장
골프연습장,CS200017,스포츠 서비스업,R103,,,,,정확,골프 연습장
볼링장,CS200018,스포츠 서비스업,R103,,,,,정확,볼링장
PC방,CS200019,유원지 및 기타 오락관련 서비스업,R104,,,,,정확,PC방
전자게임장,CS200020,유원지 및 기타 오락관련 서비스업,R104,,,,,정확,전자 게임장
기타오락장,CS200021,유원지 및 기타 오락관련 서비스업,R104,,,,,정확,기타 오락장
복권방,CS200022,유원지 및 기타 오락관련 서비스업,R104,,,,,모델,복권 발행/판매업
통신기기수리,CS200023,통신장비 수리업,S202,,,,,모델,핸드폰/통신장비 수리업
스포츠클럽,CS200024,스포츠 서비스업,R103,,,,,정확,스포츠 클럽 운영업
자동차수리,CS200025,자동차 수리 및 세차업,S203,,,,,모델,자동차 정비소
자동차미용,CS200026,자동차 수리 및 세차업,S203,,,,,모델,자동차 세차장
모터사이클수리,CS200027,모터사이클 수리업,S204,,,,,정확,모터사이클 수리업
미용실,CS200028,이용 및 미용업,S207,,,,,정확,미용실
네일숍,CS200029,이용 및 미용업,S207,,,,,정확,네일숍
피부관리실,CS200030,이용 및 미용업,S207,,,,,정확,피부 관리실
세탁소,CS200031,세탁업,S209,,,,,정확,세탁소
가전제품수리,CS200032,가전제품 수리업,S205,,,,,정확,가전제품 수리업
부동산중개업,CS200033,부동산관련 서비스업,L102,,,,,정확,부동산 중개/대리업
여관,CS200034,일반 및 생활 숙박시설 운영업,I101,,,,,정확,여관/모텔
게스트하우스,CS200035,일반 및 생활 숙박시설 운영업,I101,기타 숙박업,I102,,,모델,펜션 / 여관/모텔 / 그 외 기타 숙박업
고시원,CS200036,기타 숙박업,I102,,,,,정확,기숙사/고시원
노래방,CS200037,유원지 및 기타 오락관련 서비스업,R104,,,,,정확,노래방
독서실,CS200038,"도서관, 사적지 및 유사 여가관련 서비스업",R102,,,,,정확,독서실/스터디 카페
DVD방,CS200039,유원지 및 기타 오락관련 서비스업,R104,,,,,모델,비디오방
녹음실,CS200040,"그 외 기타 전문, 과학 및 기술 서비스업",M115,,,,,모델,그 외 기타 전문/과학/기술 서비스업
사진관,CS200041,사진 촬영 및 처리업,M113,,,,,모델,사진촬영업
통번역서비스,CS200042,"그 외 기타 전문, 과학 및 기술 서비스업",M115,,,,,모델,번역/통역 서비스업 / 번역/통역 서비스업(인적용역)
건축물청소,CS200043,건물ㆍ산업설비 청소 및 방제 서비스업,N102,,,,,모델,건축물 일반 청소업
여행사,CS200044,여행사 및 기타 여행 보조 서비스업,N105,,,,,정확,여행사
비디오/서적임대,CS200045,개인 및 가정용품 대여업,N110,,,,,모델,음반/비디오물 대여업 / 만화방
의류임대,CS200046,개인 및 가정용품 대여업,N110,,,,,모델,의류 대여업
가정용품임대,CS200047,개인 및 가정용품 대여업,N110,,,,,모델,기타 개인/가정용품 대여업
슈퍼마켓,CS300001,종합 소매업,G204,,,,,정확,슈퍼마켓
편의점,CS300002,종합 소매업,G204,,,,,정확,편의점
컴퓨터및주변장치판매,CS300003,가전제품 및 정보 통신장비 소매업,G208,,,,,모델,컴퓨터/소프트웨어 소매업
