대분류코드,대분류명,대분류명_2023파일,중분류코드,중분류명,중분류명_2023파일,소분류수,소분류코드,소분류명
G2,소매,소매업,G202,자동차 부품 소매,자동차 부품 및 내장품 소매업,2,G20201 | G20202,타이어 소매업 | 자동차 부품 소매업
G2,소매,소매업,G203,모터사이클 소매,모터사이클 및 부품 소매업,1,G20301,모터사이클 및 부품 소매업
G2,소매,소매업,G204,종합 소매,종합 소매업,7,G20401 | G20402 | G20403 | G20404 | G20405 | G20406 | G20499,백화점 | 대형 마트 | 아울렛/복합쇼핑몰 | 슈퍼마켓 | 편의점 | 면세점 | 그 외 기타 종합 소매업
G2,소매,소매업,G205,식료품 소매,식료품 소매업,9,G20501 | G20502 | G20503 | G20504 | G20505 | G20506 | G20507 | G20508 | G20509,곡물/곡분 소매업 | 가축 사료 소매업 | 정육점 | 건어물/젓갈 소매업 | 수산물 소매업 | 채소/과일 소매업 | 아이스크림 할인점 | 건강보조식품 소매업 | 반찬/식료품 소매업
G2,소매,소매업,G206,음료 소매,음료 소매업,4,G20601 | G20602 | G20603 | G20604,얼음 소매업 | 주류 소매업 | 생수/음료 소매업 | 우유 소매업
G2,소매,소매업,G207,담배 소매,담배 소매업,1,G20701,담배/전자담배 소매업
G2,소매,소매업,G208,가전·통신 소매,가전제품 및 정보 통신장비 소매업,3,G20801 | G20802 | G20803,컴퓨터/소프트웨어 소매업 | 핸드폰 소매업 | 가전제품 소매업
G2,소매,소매업,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,G20901 | G20902 | G20903 | G20904 | G20905 | G20906 | G20907 | G20908 | G20909 | G20910 | G20911,남성 의류 소매업 | 여성 의류 소매업 | 유아용 의류 소매업 | 한복 소매업 | 기타 의류 소매업 | 침구류/커튼 소매업 | 액세서리/잡화 소매업 | 가발 소매업 | 실/섬유제품 소매업 | 신발 소매업 | 가방 소매업
G2,소매,소매업,G210,철물·건설자재 소매,"철물, 공구, 창호 및 건설자재 소매업",4,G21001 | G21002 | G21003 | G21099,철물/공구 소매업 | 벽지/장판/마루 소매업 | 건설/건축자재 소매업 | 기타 건설/건축자재 소매업
G2,소매,소매업,G211,가구 소매,가구 소매업,1,G21101,가구 소매업
