등급,관계,소상공인_대분류코드,소상공인_대분류명,소상공인_중분류코드,소상공인_중분류명,소상공인_중분류명_2023파일,소상공인_소분류수,서울_업종코드,서울_업종명,서울_업종명_출처,서울_묶음크기,비고
◎,1:1 완전대응,G2,소매,G203,모터사이클 소매,모터사이클 및 부품 소매업,1,CS300039,모터사이클및부품,미확인(팀파일),1,
◎,1:1 완전대응,G2,소매,G211,가구 소매,가구 소매업,1,CS300031,가구,미확인(팀파일),1,
◎,1:1 완전대응,G2,소매,G217,시계·귀금속 소매,시계 및 귀금속 소매업,1,CS300017,시계및귀금속,서울API 확인,1,
◎,1:1 완전대응,G2,소매,G219,식물 소매,화초 및 식물 소매업,1,CS300028,화초,서울API 확인,1,
◎,1:1 완전대응,G2,소매,G220,애완동물·용품 소매,애완용 동물 및 관련용품 소매업,1,CS300029,애완동물,미확인(팀파일),1,
◎,1:1 완전대응,I1,숙박,I102,기타 숙박,기타 숙박업,2,CS200036,고시원,미확인(팀파일),1,'그 외 기타 숙박업' 일부 초과
◎,1:1 완전대응,I2,음식,I201,한식,한식 음식점업,14,CS100001,한식음식점,서울API 확인,1,
◎,1:1 완전대응,I2,음식,I202,중식,중식 음식점업,2,CS100002,중식음식점,서울API 확인,1,
◎,1:1 완전대응,I2,음식,I203,일식,일식 음식점업,4,CS100003,일식음식점,서울API 확인,1,
◎,1:1 완전대응,I2,음식,I204,서양식,서양식 음식점업,4,CS100004,양식음식점,서울API 확인,1,
◎,1:1 완전대응,I2,음식,I212,비알코올 ,비알코올 음료점업,1,CS100010,커피-음료,서울API 확인,1,
◎,1:1 완전대응,L1,부동산,L102,부동산 서비스,부동산관련 서비스업,5,CS200033,부동산중개업,서울API 확인,1,
◎,1:1 완전대응,M1,과학·기술,M111,수의,수의업,1,CS200009,동물병원,서울API 확인,1,
◎,1:1 완전대응,M1,과학·기술,M113,사진 촬영,사진 촬영 및 처리업,1,CS200041,사진관,서울API 확인,1,
◎,1:1 완전대응,N1,시설관리·임대,N105,여행사·보조,여행사 및 기타 여행 보조 서비스업,2,CS200044,여행사,서울API 확인,1,
◎,1:1 완전대응,P1,교육,P105,일반 교육,일반 교육기관,5,CS200001,일반교습학원,서울API 확인,1,
◎,1:1 완전대응,R1,예술·스포츠,R102,도서관·사적지,"도서관, 사적지 및 유사 여가관련 서비스업",7,CS200038,독서실,서울API 확인,1,
◎,1:1 완전대응,S2,수리·개인,S202,통신장비 수리,통신장비 수리업,1,CS200023,통신기기수리,서울API 확인,1,
◎,1:1 완전대응,S2,수리·개인,S204,모터사이클 수리,모터사이클 수리업,1,CS200027,모터사이클수리,서울API 확인,1,
◎,1:1 완전대응,S2,수리·개인,S205,가전제품 수리,가전제품 수리업,1,CS200032,가전제품수리,서울API 확인,1,
◎,1:1 완전대응,S2,수리·개인,S209,세탁,세탁업,2,CS200031,세탁소,서울API 확인,1,
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300011,일반의류,서울API 확인,6,침구·잡화·가발은 서울에 없음
